,Name,Year,Age,Team,League,Position,Games Played,TotalMin,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blank,OWS,DWS,WS,WS/48,blank,OBPM,DBPM,BPM,VORP
125,Brandon Armstrong,2001-02,21,NJN,NBA,SG,35,196,3.8,.358,.200,.118,5.7,3.5,4.6,6.5,1.9,0.4,8.2,22.3,,-0.4,0.2,-0.2,-0.054,,-5.9,-2.8,-8.7,-0.3
127,Darrell Armstrong,1994-95,26,ORL,NBA,PG,3,8,40.2,.563,.750,.250,14.8,0.0,7.2,76.1,6.3,0.0,10.1,53.0,,0.1,0.0,0.1,.492,,31.7,3.1,34.8,0.1
128,Hilton Armstrong,2006-07,22,NOK,NBA,C,56,634,12.2,.570,.000,.536,10.3,17.0,13.6,2.5,1.0,3.3,18.5,13.6,,0.5,0.7,1.2,.091,,-3.1,0.5,-2.6,-0.1
132,Bob Arnzen,1969-70,22,NYA,ABA,SF,13,98,9.0,.395,.021,.125,,,10.8,7.5,,,13.6,22.5,,-0.2,0.1,-0.1,-0.054,,,,,
133,Carlos Arroyo,2001-02,22,TOT,NBA,PG,37,371,12.4,.467,.018,.162,3.5,9.0,6.2,31.2,1.6,0.2,16.2,17.2,,0.2,0.1,0.4,.047,,-2.3,-2.4,-4.8,-0.3
134,Darrell Arthur,2008-09,20,MEM,NBA,PF,76,1464,11.3,.456,.005,.138,8.9,20.3,14.5,5.0,1.9,2.9,9.2,16.3,,-0.1,1.8,1.7,.055,,-3.9,0.8,-3.1,-0.4
136,Jamel Artis,2017-18,25,ORL,NBA,SG,5,55,0.8,.246,.294,.176,2.0,12.2,7.1,9.7,0.0,0.0,0.0,14.6,,-0.2,0.0,-0.2,-0.133,,-8.1,-3.2,-11.3,-0.1
137,Omer Asik,2010-11,24,CHI,NBA,C,82,989,11.8,.559,.000,1.028,13.7,22.3,18.1,4.7,1.1,4.3,23.8,12.5,,0.5,2.2,2.7,.130,,-3.5,3.0,-0.5,0.4
138,Vincent Askew,1987-88,21,PHI,NBA,SG,14,234,7.1,.330,.000,.149,3.0,8.0,5.5,19.8,2.1,1.5,13.2,16.4,,-0.4,0.2,-0.2,-0.043,,-5.4,-0.5,-5.9,-0.2
139,Keith Askins,1990-91,23,MIA,NBA,SF,39,266,13.5,.467,.309,.309,12.4,16.2,14.3,10.2,2.9,3.0,10.7,15.8,,0.2,0.4,0.6,.103,,-0.6,2.0,1.4,0.2
142,Chucky Atkins,1999-00,25,ORL,NBA,PG,82,1626,14.4,.489,.220,.179,1.3,7.1,4.2,30.9,1.6,0.1,15.1,24.3,,1.1,1.3,2.4,.072,,0.4,-2.6,-2.3,-0.1
145,Stacey Augmon,1991-92,23,ATL,NBA,SG,82,2505,14.4,.526,.007,.356,7.9,9.9,8.9,11.4,2.4,0.6,14.8,20.1,,1.5,2.2,3.7,.071,,-0.3,0.6,0.3,1.5
146,D.J. Augustin,2008-09,21,CHA,NBA,PG,72,1908,14.9,.587,.396,.375,1.1,7.5,4.3,22.6,1.2,0.1,14.1,20.8,,3.6,1.5,5.1,.128,,1.6,-2.3,-0.7,0.6
147,James Augustine,2006-07,22,ORL,NBA,PF,2,7,16.6,.333,.000,.000,18.0,34.4,26.4,48.9,0.0,0.0,0.0,19.9,,0.0,0.0,0.0,.168,,3.3,1.8,5.0,0.0
148,Isaac Austin,1991-92,22,UTA,NBA,C,31,112,15.0,.515,.000,.652,11.6,23.1,17.6,6.7,0.9,1.1,11.9,25.9,,0.1,0.2,0.3,.112,,-2.8,-2.4,-5.2,-0.1
150,Ken Austin,1983-84,22,DET,NBA,SF,7,28,5.6,.462,.000,.000,7.3,4.0,5.7,4.8,1.7,2.0,18.8,22.0,,0.0,0.0,0.0,-0.046,,-5.1,-1.7,-6.9,0.0
151,Anthony Avent,1992-93,23,MIL,NBA,PF,82,2285,10.2,.459,.002,.214,9.0,17.0,12.9,5.9,1.2,2.1,13.8,19.1,,-1.5,1.8,0.3,.005,,-4.3,-0.4,-4.6,-1.5
