,Name,Year,blank,blank,League,blank,Games Played,Games Started,TotalMin,FGPer36,FGAPer36,FG%Per36,3pPer36,3PAPer36,3p%Per36,2pPer36,2pAPer36,2p%Per36,FTPer36,FTAPer36,FT%Per36,ORGPer36,DRBPer36,TotalRebPer36,AstPer36,StealPer36,BlkPer36,TOVPer36,FoulsPer36,PtsPer36
3990,Carl Thomas,Career,,,NBA,,63,0,534,4.7,11.9,.398,1.6,4.9,.315,3.2,6.9,.456,1.2,1.9,.643,0.9,3.2,4.0,1.9,1.6,0.5,1.7,3.3,12.2
3991,Charles Thomas,Career,,,NBA,,36,0,156,4.2,11.8,.353,0.5,3.9,.118,3.7,7.8,.471,2.3,3.5,.667,1.4,3.7,5.1,5.1,0.9,0.2,3.9,4.6,11.1
3992,Etan Thomas,Career,,,NBA,,409,74,7084,4.5,8.8,.513,0.0,0.0,,4.5,8.8,.513,2.9,4.7,.603,3.4,6.4,9.8,0.8,0.7,2.2,2.0,4.5,11.9
3993,Irving Thomas,Career,,,NBA,,26,0,108,5.7,16.7,.340,0.0,0.0,,5.7,16.7,.340,4.0,7.0,.571,4.7,5.7,10.3,3.3,1.3,0.3,4.3,8.0,15.3
3994,Isaiah Thomas,Career,,,NBA,,463,323,13785,7.4,16.8,.441,2.4,6.5,.363,5.0,10.3,.490,5.7,6.6,.876,0.7,2.4,3.1,6.2,1.2,0.1,2.9,2.6,22.9
3995,Isiah Thomas,Career,,,NBA,,979,971,35516,7.3,16.1,.452,0.4,1.4,.290,6.9,14.7,.468,4.1,5.4,.759,1.0,2.6,3.5,9.2,1.9,0.3,3.7,3.0,19.1
3996,Jamel Thomas,Career,,,NBA,,12,0,102,4.9,13.1,.378,0.4,2.1,.167,4.6,10.9,.419,0.4,0.4,1.000,1.8,3.2,4.9,2.1,1.4,0.0,3.9,2.8,10.6
3997,James Thomas,Career,,,NBA,,33,2,267,3.0,5.3,.564,0.0,0.0,,3.0,5.3,.564,1.3,2.7,.500,3.9,6.3,10.2,0.7,0.5,0.9,1.9,6.5,7.3
3998,Jim Thomas,Career,,,NBA,,161,67,3361,5.8,12.3,.471,0.1,0.6,.170,5.7,11.7,.486,2.8,3.7,.763,1.5,3.0,4.5,4.0,1.5,0.1,2.2,3.4,14.5
4000,John Thomas,Career,,,NBA,,208,27,2253,3.6,7.1,.502,0.0,0.0,.000,3.6,7.1,.505,1.8,3.1,.591,3.2,3.7,6.9,1.0,1.1,0.8,1.7,6.1,8.9
4001,Kenny Thomas,Career,,,NBA,,632,406,17306,4.8,10.3,.465,0.1,0.5,.244,4.7,9.8,.476,2.5,3.6,.699,3.0,6.0,9.0,2.0,1.1,0.6,2.2,3.3,12.2
4002,Kurt Thomas,Career,,,NBA,,1110,650,27160,5.1,10.5,.486,0.0,0.0,.281,5.1,10.4,.487,1.7,2.3,.760,2.5,7.2,9.7,1.6,1.0,1.1,1.6,4.7,11.9
4003,Lance Thomas,Career,,,NBA,,333,98,6181,3.7,8.8,.423,0.7,1.8,.405,3.0,7.0,.428,2.1,2.6,.802,1.5,3.5,5.0,1.3,0.7,0.3,1.3,3.2,10.3
4004,Malcolm Thomas,Career,,,NBA,,40,0,329,3.3,7.6,.435,0.1,1.2,.091,3.2,6.3,.500,1.6,2.7,.600,3.0,7.6,10.5,1.5,0.7,0.8,2.7,3.3,8.3
4005,Ronald Thomas,Career,,,ABA,,264,,3292,4.8,10.3,.468,0.0,0.2,.214,4.8,10.1,.472,1.9,3.5,.536,4.8,7.0,11.8,2.2,2.0,0.5,2.6,5.8,11.5
4007,Tim Thomas,Career,,,NBA,,824,408,21336,5.8,13.4,.437,1.6,4.4,.369,4.2,9.0,.470,2.7,3.5,.758,1.4,4.3,5.7,2.1,1.0,0.5,2.1,3.8,16.0
4008,Tyrus Thomas,Career,,,NBA,,402,129,7932,5.2,11.9,.438,0.0,0.2,.235,5.2,11.7,.440,3.6,4.9,.732,2.5,6.3,8.8,1.6,1.5,2.4,2.4,4.5,14.0
4010,Trey Thompkins,Career,,,NBA,,24,0,119,7.3,18.5,.393,1.2,3.9,.308,6.1,14.5,.417,1.5,2.1,.714,1.2,6.1,7.3,0.9,0.9,0.9,1.8,3.0,17.2
4011,Bernard Thompson,Career,,,NBA,,204,29,2935,5.0,11.5,.439,0.0,0.2,.000,5.0,11.2,.447,3.2,4.0,.789,2.0,2.3,4.3,3.3,1.6,0.3,2.2,4.8,13.2
4012,Billy Thompson,Career,,,NBA,,300,149,6697,5.8,11.4,.505,0.0,0.1,.154,5.8,11.4,.507,2.2,3.3,.674,3.6,5.1,8.7,2.8,0.8,1.5,2.8,4.4,13.8
4013,Brooks Thompson,Career,,,NBA,,168,8,1714,5.8,14.3,.409,3.1,8.3,.376,2.7,5.9,.456,1.2,1.8,.647,0.6,2.7,3.3,5.9,1.8,0.1,3.2,4.8,16.0
4014,Corny Thompson,Career,,,NBA,,44,2,520,3.0,9.5,.314,0.0,0.0,,3.0,9.5,.314,2.5,3.2,.783,2.8,5.5,8.3,2.4,0.8,0.5,2.1,6.4,8.4
4015,David Thompson,Career,,,TOT,,592,69,19406,9.3,18.4,.505,0.1,0.3,.255,9.3,18.2,.508,6.2,8.0,.781,1.8,2.7,4.5,3.6,1.1,0.9,3.0,2.9,24.9
4016,Dijon Thompson,Career,,,NBA,,16,0,93,6.6,15.5,.425,1.5,5.0,.308,5.0,10.5,.481,2.7,3.1,.875,2.7,4.6,7.4,1.2,1.2,0.4,1.2,3.1,17.4
4017,George Thompson,Career,,,TOT,,437,,14031,7.6,16.3,.465,0.3,1.1,.265,7.3,15.3,.478,5.4,7.1,.762,1.5,2.3,3.7,4.0,1.4,0.2,2.9,3.1,20.8
4018,Hollis Thompson,Career,,,NBA,,265,90,6424,4.2,10.1,.413,2.0,5.3,.386,2.1,4.8,.444,1.1,1.6,.707,1.1,3.5,4.6,1.6,0.9,0.4,1.2,3.0,11.5
4020,Jason Thompson,Career,,,NBA,,588,412,14819,5.1,10.3,.496,0.0,0.1,.143,5.1,10.2,.500,2.4,3.6,.657,3.1,6.4,9.4,1.5,0.7,1.0,1.8,4.3,12.7
4022,Kevin Thompson,Career,,,NBA,,14,0,58,3.7,8.7,.429,0.0,0.6,.000,3.7,8.1,.462,0.6,1.2,.500,4.3,3.7,8.1,1.9,0.0,1.2,3.1,6.8,8.1
4023,Klay Thompson,Career,,,NBA,,526,489,17300,7.8,17.1,.458,3.2,7.5,.423,4.7,9.6,.486,2.1,2.5,.851,0.5,3.3,3.7,2.5,1.0,0.6,1.9,2.4,21.0
4024,LaSalle Thompson,Career,,,NBA,,985,516,21238,5.3,10.8,.492,0.0,0.0,.154,5.3,10.8,.493,2.6,3.5,.737,3.6,7.7,11.3,1.9,1.3,1.6,2.8,5.3,13.2
4025,Mychal Thompson,Career,,,NBA,,935,454,27764,6.7,13.4,.504,0.0,0.0,.083,6.7,13.3,.504,3.1,4.8,.655,2.9,6.1,9.0,2.8,0.9,1.4,2.7,3.5,16.6
4026,Mychel Thompson,Career,,,NBA,,5,3,95,2.7,9.1,.292,1.5,4.2,.364,1.1,4.9,.231,0.0,0.0,,0.0,1.9,1.9,2.7,0.8,0.4,1.9,3.0,6.8
4027,Paul Thompson,Career,,,NBA,,154,45,3105,6.6,15.2,.432,0.2,0.9,.210,6.4,14.3,.447,2.6,3.2,.792,2.4,3.8,6.2,2.6,1.6,0.9,1.9,4.2,15.9
4028,Stephen Thompson,Career,,,NBA,,19,0,91,5.5,14.6,.378,0.0,0.4,.000,5.5,14.2,.389,1.2,3.2,.375,4.4,3.2,7.5,3.2,2.4,1.2,2.0,3.6,12.3
4029,Tristan Thompson,Career,,,NBA,,507,336,14251,4.6,8.9,.518,0.0,0.0,.000,4.6,8.9,.520,2.4,4.0,.609,4.3,6.6,10.8,1.0,0.6,1.0,1.4,3.1,11.7
4032,Al Thornton,Career,,,NBA,,296,167,8274,6.0,13.2,.452,0.3,1.2,.293,5.6,12.0,.467,3.1,4.2,.747,1.7,3.7,5.4,1.5,0.8,0.7,1.8,3.4,15.3
4033,Bob Thornton,Career,,,NBA,,283,30,3386,3.4,7.7,.444,0.0,0.1,.222,3.4,7.6,.447,2.1,3.8,.558,2.8,4.7,7.6,1.1,0.8,0.4,2.2,6.1,9.0
4035,Marcus Thornton,Career,,,NBA,,483,135,11299,6.8,15.9,.425,2.3,6.5,.358,4.4,9.4,.471,2.4,2.9,.830,1.3,3.0,4.3,2.2,1.3,0.2,1.6,2.4,18.3
4036,Sindarius Thornwell,Career,,,NBA,,52,8,671,3.1,7.0,.443,0.9,2.1,.400,2.3,4.9,.462,1.8,2.8,.654,0.7,3.2,3.9,2.0,1.6,0.9,1.7,4.2,8.9
4037,Otis Thorpe,Career,,,NBA,,1257,989,39822,6.2,11.4,.546,0.0,0.1,.047,6.2,11.3,.548,3.5,5.1,.687,3.1,6.3,9.4,2.5,0.8,0.5,2.5,3.7,15.9
4038,Sedale Threatt,Career,,,NBA,,951,304,22436,6.3,13.0,.485,0.3,1.0,.293,6.0,11.9,.501,2.1,2.6,.815,0.6,2.1,2.7,5.8,1.8,0.2,2.1,3.5,15.0
4043,Darren Tillis,Career,,,NBA,,124,5,1256,5.3,12.5,.423,0.0,0.1,.000,5.3,12.4,.426,1.6,2.6,.626,3.3,5.7,9.0,1.2,0.6,2.6,2.1,7.2,12.2
4046,Jamaal Tinsley,Career,,,NBA,,547,404,14443,4.4,11.2,.393,1.0,3.3,.299,3.4,7.9,.432,1.8,2.6,.716,0.9,3.1,4.0,8.3,1.9,0.4,3.4,3.3,11.6
4047,Wayman Tisdale,Career,,,NBA,,840,534,23868,8.1,16.0,.505,0.0,0.0,.000,8.1,15.9,.506,3.3,4.4,.760,2.4,5.3,7.7,1.6,0.7,0.8,2.1,4.2,19.4
4048,Mike Tobey,Career,,,NBA,,2,0,25,1.4,5.8,.250,0.0,0.0,,1.4,5.8,.250,0.0,0.0,,2.9,1.4,4.3,1.4,0.0,0.0,1.4,2.9,2.9
4050,Ray Tolbert,Career,,,NBA,,261,2,2789,5.1,10.3,.495,0.0,0.1,.000,5.1,10.2,.499,1.8,3.2,.544,2.9,5.0,7.9,1.7,0.9,1.3,2.7,5.4,12.0
4051,Tom Tolbert,Career,,,NBA,,312,120,5680,4.8,10.4,.460,0.2,0.6,.296,4.6,9.8,.470,3.1,4.3,.716,2.6,5.4,7.9,1.8,0.7,0.7,2.2,4.7,12.9
4052,Anthony Tolliver,Career,,,NBA,,579,84,11638,3.8,9.1,.417,2.1,5.7,.369,1.7,3.4,.497,1.7,2.2,.771,1.5,4.7,6.2,1.7,0.7,0.5,1.2,3.0,11.4
4054,Rudy Tomjanovich,Career,,,NBA,,768,,25714,7.9,15.7,.501,0.4,1.5,.262,7.8,15.6,.504,2.9,3.7,.784,2.2,5.3,8.7,2.2,0.7,0.3,1.8,2.7,18.7
4055,Andrew Toney,Career,,,NBA,,468,246,12608,8.2,16.3,.500,0.4,1.2,.342,7.8,15.2,.512,4.6,5.7,.797,0.7,2.2,2.9,5.6,1.1,0.3,4.0,3.8,21.3
4056,Sedric Toney,Career,,,NBA,,112,9,1410,3.5,9.7,.365,0.8,2.3,.341,2.8,7.4,.372,2.6,3.3,.781,0.6,1.9,2.5,6.0,1.2,0.0,2.9,4.1,10.4
4058,Andy Toolson,Career,,,NBA,,60,15,523,4.0,10.0,.397,1.0,3.0,.341,3.0,7.0,.422,1.9,2.5,.757,2.2,2.8,5.0,2.2,1.0,0.1,1.8,4.8,10.9
4060,Bernard Toone,Career,,,NBA,,23,,124,6.7,18.6,.359,0.3,2.0,.143,6.4,16.5,.386,2.3,2.9,.800,3.5,6.4,9.9,3.5,1.2,1.5,4.6,5.8,16.0
4063,Oscar Torres,Career,,,NBA,,82,13,1184,4.6,11.5,.401,1.3,4.2,.317,3.3,7.2,.450,2.9,3.8,.768,1.5,2.6,4.1,1.3,0.9,0.3,1.7,2.2,13.4
4066,Axel Toupane,Career,,,NBA,,25,0,352,3.1,8.1,.380,1.4,4.5,.318,1.6,3.6,.457,1.3,1.7,.765,0.8,2.5,3.3,1.5,0.8,0.7,0.6,4.7,8.9
4067,Monte Towe,Career,,,TOT,,115,,985,4.7,11.6,.404,0.6,2.6,.214,4.3,10.1,.433,2.0,2.5,.783,0.5,2.7,3.3,8.2,1.9,0.2,5.1,5.3,11.7
4068,Keith Tower,Career,,,NBA,,53,2,416,3.4,7.9,.429,0.0,0.1,.000,3.4,7.8,.433,1.7,3.1,.556,2.2,3.8,6.0,0.6,0.5,1.0,1.6,6.0,8.5
4070,Linton Townes,Career,,,NBA,,60,0,543,7.2,16.4,.440,0.6,1.7,.360,6.6,14.8,.448,2.0,2.7,.750,2.1,2.4,4.4,2.1,1.3,0.5,2.3,5.7,17.0
4071,Karl-Anthony Towns,Career,,,NBA,,230,230,7970,8.7,16.0,.543,1.0,2.7,.381,7.7,13.3,.576,3.8,4.6,.836,3.2,8.8,12.1,2.4,0.8,1.5,2.4,3.2,22.2
4072,Raymond Townsend,Career,,,NBA,,154,0,2025,5.5,13.4,.411,0.2,1.0,.171,5.4,12.7,.423,2.2,3.1,.703,0.8,2.0,2.8,3.9,1.6,0.2,2.2,3.6,13.2
4074,John Trapp,Career,,,TOT,,303,,5237,6.2,14.7,.420,0.0,0.2,.000,6.2,14.7,.421,2.7,3.8,.717,2.8,4.7,9.1,2.1,,,2.6,6.4,15.1
4075,Robert Traylor,Career,,,NBA,,438,73,6243,4.8,10.2,.474,0.0,0.1,.167,4.8,10.1,.478,2.3,4.0,.577,3.9,5.6,9.5,1.8,1.6,1.8,2.3,6.2,12.0
4076,Gary Trent,Career,,,NBA,,506,130,9866,6.5,13.1,.501,0.0,0.2,.080,6.5,12.9,.507,2.8,4.4,.643,3.1,5.2,8.3,1.8,0.8,0.6,2.2,4.0,15.9
4077,Jeff Trepagnier,Career,,,NBA,,31,0,270,4.5,13.5,.337,0.8,1.7,.462,3.7,11.7,.318,1.9,2.7,.700,2.3,3.5,5.7,2.9,2.5,0.5,3.3,2.7,11.7
4080,Kelly Tripucka,Career,,,NBA,,707,575,20959,7.6,16.1,.473,0.3,0.8,.361,7.3,15.3,.479,5.3,6.3,.849,1.6,3.0,4.6,3.6,1.2,0.2,2.9,2.8,20.9
4081,Ansley Truitt,Career,,,ABA,,16,,86,7.5,17.6,.429,0.0,0.0,,7.5,17.6,.429,1.3,3.8,.333,4.2,11.7,15.9,0.8,,,2.9,3.8,16.3
4082,Cezary Trybanski,Career,,,NBA,,22,0,101,1.8,8.6,.208,0.0,0.0,,1.8,8.6,.208,1.8,4.3,.417,2.1,3.2,5.3,0.4,0.4,2.5,3.6,5.7,5.3
4083,Jake Tsakalidis,Career,,,NBA,,315,168,5005,4.2,8.5,.490,0.0,0.0,.000,4.2,8.5,.490,2.4,3.7,.657,3.1,5.8,8.9,0.7,0.5,1.6,1.9,5.0,10.8
4086,Nikoloz Tskitishvili,Career,,,NBA,,172,16,1946,3.5,11.6,.304,0.8,3.4,.235,2.7,8.2,.332,1.6,2.1,.730,2.0,3.7,5.7,2.1,0.9,0.9,2.3,4.2,9.4
4088,Alando Tucker,Career,,,NBA,,51,1,426,6.5,15.4,.423,0.8,2.9,.294,5.7,12.5,.453,4.0,5.1,.783,2.5,1.7,4.1,1.4,0.4,0.2,1.6,1.9,17.8
4089,Anthony Tucker,Career,,,NBA,,62,13,982,3.5,7.7,.457,0.0,0.0,.000,3.5,7.7,.459,1.9,3.0,.614,1.6,4.6,6.2,2.5,1.7,0.4,2.1,4.7,8.9
4091,P.J. Tucker,Career,,,NBA,,479,303,13327,3.5,8.2,.427,1.1,3.0,.352,2.4,5.2,.470,1.5,2.0,.754,2.1,5.3,7.4,1.9,1.5,0.3,1.3,3.0,9.6
4092,Trent Tucker,Career,,,NBA,,756,207,15671,6.0,12.9,.461,1.3,3.2,.408,4.6,9.7,.478,1.1,1.4,.754,1.2,2.3,3.5,3.5,1.6,0.2,1.4,3.7,14.3
4093,Ronny Turiaf,Career,,,NBA,,473,105,8020,3.8,7.2,.533,0.0,0.0,.000,3.8,7.2,.535,2.2,3.5,.636,2.3,5.6,7.9,2.8,0.8,2.7,1.6,5.0,9.9
4094,Mirsad Turkcan,Career,,,NBA,,17,0,90,5.6,15.2,.368,0.0,2.4,.000,5.6,12.8,.438,2.0,3.2,.625,5.2,8.0,13.2,2.0,1.2,0.4,3.2,5.6,13.2
4095,Hedo Turkoglu,Career,,,NBA,,997,571,26695,5.2,12.2,.426,1.7,4.4,.384,3.5,7.8,.450,2.8,3.6,.784,0.9,4.5,5.4,3.8,1.0,0.4,2.1,3.2,14.9
4096,Andre Turner,Career,,,NBA,,170,4,2523,4.4,10.4,.422,0.2,0.8,.237,4.2,9.5,.439,2.0,2.6,.764,0.9,2.9,3.8,7.6,2.0,0.0,3.0,2.9,10.9
4098,Elston Turner,Career,,,NBA,,505,97,9006,4.2,9.7,.432,0.0,0.2,.152,4.2,9.5,.437,1.2,1.6,.714,2.2,3.3,5.5,3.7,1.8,0.1,1.8,3.6,9.6
4099,Evan Turner,Career,,,NBA,,593,281,16558,5.3,12.3,.432,0.5,1.8,.298,4.8,10.5,.454,2.1,2.6,.785,0.7,5.5,6.2,4.6,1.0,0.3,2.4,2.6,13.2
4101,Henry Turner,Career,,,NBA,,66,1,464,6.3,13.9,.453,0.2,0.6,.250,6.1,13.3,.462,4.7,7.8,.600,3.0,3.0,6.1,2.3,1.9,0.6,2.9,4.7,17.4
4105,Jeff Turner,Career,,,NBA,,612,235,11244,4.9,10.6,.467,0.2,0.7,.344,4.7,9.9,.475,1.7,2.2,.769,2.0,4.5,6.5,2.0,0.7,0.3,2.2,5.6,11.8
4106,John Turner,Career,,,NBA,,42,0,345,4.5,10.2,.439,0.0,0.0,,4.5,10.2,.439,3.2,6.2,.525,4.0,4.2,8.1,1.3,0.6,0.4,3.3,4.2,12.2
4107,Myles Turner,Career,,,NBA,,187,154,5200,6.5,12.9,.504,0.6,1.7,.350,5.9,11.2,.526,3.2,4.1,.778,1.9,6.6,8.5,1.5,0.8,2.4,1.7,3.8,16.7
4108,Wayne Turner,Career,,,NBA,,3,0,41,0.9,5.3,.167,0.0,0.0,,0.9,5.3,.167,1.8,5.3,.333,0.9,1.8,2.6,4.4,0.0,0.0,2.6,3.5,3.5
4109,Melvin Turpin,Career,,,NBA,,361,127,6871,6.8,13.2,.516,0.0,0.0,.111,6.8,13.1,.518,2.5,3.2,.777,3.0,5.7,8.7,1.0,0.8,1.8,2.3,4.5,16.1
4110,Dave Twardzik,Career,,,TOT,,536,,13241,4.5,8.5,.527,0.1,0.2,.245,4.5,8.4,.532,4.5,5.5,.821,1.1,2.4,3.5,5.0,2.0,0.1,3.2,4.0,13.5
4112,B.J. Tyler,Career,,,NBA,,55,8,809,3.2,8.4,.381,0.7,2.3,.314,2.5,6.1,.406,1.6,2.2,.700,0.6,2.2,2.8,7.7,1.6,0.1,4.3,2.6,8.7
4113,Jeremy Tyler,Career,,,NBA,,104,23,1034,5.5,12.2,.450,0.0,0.0,.000,5.5,12.1,.451,2.1,3.7,.557,3.4,6.0,9.4,0.9,0.8,1.5,2.4,5.7,13.0
4114,Terry Tyler,Career,,,NBA,,871,255,21740,6.3,13.1,.484,0.0,0.2,.122,6.3,13.0,.488,2.0,2.8,.703,2.7,5.1,7.7,1.7,1.3,2.2,1.9,3.2,14.7
4116,Edwin Ubiles,Career,,,NBA,,4,0,52,3.5,12.5,.278,0.7,3.5,.200,2.8,9.0,.308,2.1,2.1,1.000,1.4,5.5,6.9,0.7,0.7,0.7,0.7,0.7,9.7
4117,Ekpe Udoh,Career,,,NBA,,320,55,5297,3.2,7.2,.440,0.0,0.0,.000,3.2,7.2,.441,2.0,2.8,.725,2.9,3.9,6.7,1.5,1.1,2.6,1.4,4.5,8.4
4118,Ime Udoka,Career,,,NBA,,316,80,5711,3.9,9.3,.417,1.4,3.9,.356,2.5,5.4,.461,1.2,1.7,.705,1.4,4.5,5.8,1.9,1.3,0.3,1.4,3.3,10.3
4119,Beno Udrih,Career,,,NBA,,831,272,18185,5.4,11.7,.463,0.9,2.6,.349,4.5,9.1,.496,2.0,2.4,.833,0.6,2.8,3.4,5.7,1.1,0.1,2.3,2.5,13.8
4120,Roko Ukic,Career,,,NBA,,85,0,987,5.0,12.9,.387,0.5,2.7,.189,4.5,10.2,.439,1.9,2.6,.746,1.0,1.9,2.8,6.0,1.1,0.1,2.4,3.0,12.4
4121,Tyler Ulis,Career,,,NBA,,117,52,2381,5.0,12.5,.400,0.7,2.7,.261,4.3,9.8,.438,1.7,2.2,.790,0.5,2.2,2.8,6.7,1.6,0.1,2.5,2.6,12.4
4122,Wes Unseld,Career,,,NBA,,984,,35832,4.4,8.6,.509,0.0,0.0,.500,4.4,8.6,.509,1.9,3.0,.633,3.7,8.7,13.8,3.8,1.1,0.6,2.1,2.8,10.7
4124,Kelvin Upshaw,Career,,,NBA,,120,1,1518,6.3,14.0,.453,0.3,1.4,.237,6.0,12.6,.477,2.4,3.0,.795,0.9,2.5,3.4,6.1,1.9,0.2,2.9,5.0,15.4
4125,Jarrod Uthoff,Career,,,NBA,,9,0,115,5.0,11.9,.421,0.9,2.8,.333,4.1,9.1,.448,1.6,2.2,.714,2.5,4.4,6.9,2.8,0.6,1.3,0.9,2.5,12.5
4126,Ben Uzoh,Career,,,NBA,,60,8,808,4.3,10.8,.395,0.1,0.4,.333,4.1,10.4,.397,2.0,3.3,.587,2.2,3.5,5.7,5.8,1.3,0.5,2.0,2.7,10.6
4128,Jonas Valanciunas,Career,,,NBA,,420,414,10739,6.4,11.4,.558,0.1,0.2,.451,6.3,11.2,.559,3.4,4.3,.783,3.7,8.2,11.9,1.0,0.5,1.4,2.1,4.0,16.2
4129,Darnell Valentine,Career,,,NBA,,620,345,14395,5.0,11.4,.437,0.1,0.4,.261,4.9,11.0,.443,3.4,4.4,.787,0.9,2.4,3.3,7.7,2.3,0.1,3.1,3.4,13.5
4130,Denzel Valentine,Career,,,NBA,,119,32,2689,4.5,11.5,.392,2.4,6.7,.365,2.1,4.8,.430,0.6,0.8,.797,0.7,5.8,6.5,3.4,1.0,0.2,1.6,3.1,12.1
4131,Ronnie Valentine,Career,,,NBA,,24,,123,10.8,28.7,.378,0.3,0.6,.500,10.5,28.1,.375,2.6,5.6,.474,2.9,5.9,8.8,2.0,2.0,1.2,4.7,6.7,24.6
4136,Jan van Breda Kolff,Career,,,TOT,,598,0,13772,3.4,7.7,.444,0.0,0.2,.282,3.4,7.6,.446,2.8,3.4,.821,2.0,4.7,6.7,3.1,1.2,1.2,2.4,4.1,9.7
4137,Nick Van Exel,Career,,,NBA,,880,670,28969,5.8,14.2,.405,1.9,5.3,.357,3.9,8.9,.433,2.3,2.9,.794,0.5,2.7,3.2,7.2,0.9,0.1,2.3,1.7,15.7
4138,Keith Van Horn,Career,,,NBA,,575,463,18150,6.7,15.2,.443,1.2,3.3,.361,5.6,11.9,.466,3.6,4.3,.835,2.2,5.5,7.8,1.8,0.9,0.6,2.5,3.4,18.3
4140,Dennis Van Zant,Career,,,ABA,,1,,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,36.0,36.0,1.000,0.0,18.0,18.0,0.0,0.0,0.0,0.0,18.0,36.0
4142,Logan Vander Velden,Career,,,NBA,,15,0,31,3.5,16.3,.214,0.0,5.8,.000,3.5,10.5,.333,3.5,4.6,.750,1.2,5.8,7.0,1.2,0.0,0.0,0.0,4.6,10.5
4144,Kiki Vandeweghe,Career,,,NBA,,810,548,24521,9.0,17.2,.525,0.3,0.9,.368,8.7,16.3,.533,5.1,5.9,.872,1.3,2.8,4.1,2.4,0.7,0.4,1.9,2.3,23.5
4145,Nick Vanos,Career,,,NBA,,68,14,842,3.8,9.8,.383,0.0,0.1,.000,3.8,9.7,.386,2.0,3.5,.561,3.8,6.5,10.3,2.5,0.9,1.2,2.9,5.5,9.5
4146,David Vanterpool,Career,,,NBA,,22,0,411,4.0,9.6,.418,0.0,0.5,.000,4.0,9.1,.442,2.6,4.4,.600,1.3,1.9,3.2,5.8,2.0,0.3,3.2,3.9,10.7
4147,Fred VanVleet,Career,,,NBA,,95,0,1408,5.3,12.9,.409,2.1,5.3,.404,3.1,7.6,.413,2.1,2.5,.856,0.6,4.2,4.8,5.4,1.8,0.4,1.8,3.5,14.9
4148,Ratko Varda,Career,,,NBA,,1,0,6,12.0,18.0,.667,0.0,0.0,,12.0,18.0,.667,6.0,6.0,1.000,0.0,6.0,6.0,0.0,0.0,0.0,6.0,18.0,30.0
4149,Anderson Varejao,Career,,,NBA,,627,209,15051,4.3,8.5,.510,0.0,0.1,.024,4.3,8.4,.516,2.3,3.6,.631,3.6,7.2,10.8,1.8,1.3,1.0,1.4,3.9,10.9
4150,Jarvis Varnado,Career,,,NBA,,37,0,397,3.5,6.1,.582,0.0,0.0,,3.5,6.1,.582,2.6,5.1,.518,1.9,4.6,6.5,1.5,1.0,2.8,1.5,6.5,9.7
4151,Greivis Vasquez,Career,,,NBA,,401,157,9520,5.2,12.5,.418,1.6,4.5,.349,3.7,8.0,.456,1.6,2.0,.817,0.5,3.4,3.9,7.3,0.9,0.1,2.8,2.9,13.6
4153,David Vaughn,Career,,,ABA,,93,,2593,6.0,14.3,.421,0.0,0.0,.000,6.0,14.3,.422,1.8,3.3,.549,3.9,8.7,12.7,1.9,1.1,1.8,2.8,4.0,13.9
4154,David Vaughn,Career,,,NBA,,118,8,1156,4.3,10.1,.423,0.0,0.1,.000,4.3,10.0,.425,2.1,3.3,.638,4.2,7.1,11.2,1.1,1.0,1.5,3.1,6.7,10.6
4155,Jacque Vaughn,Career,,,NBA,,776,123,12658,3.7,8.6,.429,0.3,0.8,.352,3.4,7.8,.437,2.2,2.8,.779,0.4,2.5,2.9,5.5,1.1,0.0,2.3,3.6,9.8
4156,Rashad Vaughn,Career,,,NBA,,138,8,1661,3.5,10.3,.338,1.8,5.7,.314,1.7,4.6,.366,0.4,0.6,.692,0.4,3.0,3.4,1.6,1.1,0.6,1.0,2.6,9.2
4158,Loy Vaught,Career,,,NBA,,689,354,16993,6.5,12.9,.504,0.0,0.2,.244,6.4,12.7,.508,1.8,2.5,.718,3.1,7.2,10.3,1.4,1.1,0.5,1.7,3.4,14.8
4159,Bob Verga,Career,,,TOT,,342,,10754,8.8,20.0,.438,0.4,1.5,.296,8.3,18.5,.449,5.2,7.0,.749,2.2,2.4,4.5,3.4,2.0,0.0,3.4,3.4,23.2
4160,Pete Verhoeven,Career,,,NBA,,282,27,3220,4.8,9.6,.505,0.0,0.0,.250,4.8,9.5,.506,1.5,2.2,.689,3.0,4.1,7.2,1.7,1.4,0.7,1.9,7.0,11.2
4161,Jan Vesely,Career,,,NBA,,162,25,2455,3.9,7.4,.521,0.0,0.0,.000,3.9,7.4,.523,0.9,2.3,.408,3.3,4.9,8.2,1.4,1.6,1.2,1.8,5.6,8.7
4162,Gundars Vetra,Career,,,NBA,,13,0,89,7.7,16.2,.475,1.2,1.2,1.000,6.5,15.0,.432,1.6,2.4,.667,1.6,1.6,3.2,2.4,0.8,0.0,0.8,4.9,18.2
4163,Joao Vianna,Career,,,NBA,,1,0,9,4.0,8.0,.500,0.0,0.0,,4.0,8.0,.500,0.0,0.0,,0.0,0.0,0.0,8.0,0.0,0.0,4.0,12.0,8.0
4164,Charlie Villanueva,Career,,,NBA,,656,163,13578,7.0,16.2,.435,1.9,5.6,.341,5.1,10.6,.484,2.1,2.7,.772,2.1,5.9,8.0,1.5,0.9,0.9,1.7,3.9,18.1
