,Name,Year,blank,blank,League,blank,Games Played,Games Started,TotalMin,FGPer36,FGAPer36,FG%Per36,3pPer36,3PAPer36,3p%Per36,2pPer36,2pAPer36,2p%Per36,FTPer36,FTAPer36,FT%Per36,ORGPer36,DRBPer36,TotalRebPer36,AstPer36,StealPer36,BlkPer36,TOVPer36,FoulsPer36,PtsPer36
446,J.R. Bremer,Career,,,NBA,,100,43,1946,4.0,11.5,.344,2.2,6.7,.333,1.7,4.8,.359,1.8,2.4,.748,0.5,2.8,3.3,4.0,1.0,0.1,1.5,2.1,12.0
449,Randy Breuer,Career,,,NBA,,681,285,12499,5.5,11.7,.467,0.0,0.0,.000,5.5,11.7,.468,2.3,3.7,.628,3.1,5.5,8.6,1.8,0.9,2.2,1.9,4.2,13.2
450,Corey Brewer,Career,,,NBA,,765,291,17732,5.2,12.3,.424,0.9,3.4,.280,4.3,8.9,.479,2.4,3.3,.711,1.1,3.2,4.3,2.4,1.9,0.4,1.9,3.3,13.7
451,Jamison Brewer,Career,,,NBA,,54,1,468,2.7,7.2,.372,0.6,2.5,.250,2.1,4.8,.435,0.8,2.2,.393,1.2,2.7,3.8,4.3,1.5,0.2,2.5,2.6,6.8
452,Jim Brewer,Career,,,NBA,,703,9,15936,4.0,9.0,.448,0.0,0.2,.077,4.0,9.0,.449,1.2,2.1,.571,3.7,6.3,10.1,2.3,1.3,1.2,1.8,3.5,9.3
453,Ron Brewer,Career,,,NBA,,501,108,12892,7.0,15.2,.459,0.1,0.4,.248,6.9,14.8,.464,2.6,3.2,.824,0.9,1.8,2.7,2.6,1.3,0.7,2.0,2.3,16.7
454,Ronnie Brewer,Career,,,NBA,,502,304,11539,4.8,9.9,.490,0.3,1.1,.254,4.6,8.8,.520,2.3,3.4,.675,1.4,3.0,4.5,2.6,1.9,0.4,1.2,1.7,12.3
455,Primoz Brezec,Career,,,NBA,,342,214,6192,5.9,11.8,.498,0.0,0.0,.167,5.9,11.8,.499,2.5,3.5,.701,3.3,4.4,7.7,1.0,0.4,0.8,1.6,4.2,14.3
457,Frank Brickowski,Career,,,NBA,,731,404,16278,6.4,12.2,.519,0.1,0.4,.324,6.2,11.9,.525,3.3,4.5,.740,2.2,5.3,7.5,3.1,1.4,0.6,3.0,5.1,16.1
458,Junior Bridgeman,Career,,,NBA,,849,52,21257,8.1,17.1,.475,0.1,0.4,.244,8.1,16.8,.479,3.2,3.8,.846,1.5,3.5,5.1,3.5,1.2,0.4,2.4,3.3,19.5
462,John Brisker,Career,,,TOT,,331,,9953,9.7,21.4,.453,0.8,2.5,.321,9.1,19.5,.466,4.8,5.7,.834,3.1,4.8,7.8,2.8,1.3,0.3,3.6,3.4,24.8
463,Allan Bristow,Career,,,TOT,,695,54,14159,5.3,11.6,.460,0.1,0.3,.281,5.3,11.5,.463,3.1,3.9,.801,2.4,4.6,7.1,5.6,1.3,0.1,3.0,3.6,13.9
466,Mike Brittain,Career,,,NBA,,38,2,248,3.8,7.5,.500,0.0,0.0,,3.8,7.5,.500,1.6,3.0,.524,1.7,6.0,7.7,1.0,0.6,1.7,3.2,8.3,9.1
467,Dave Britton,Career,,,NBA,,2,,9,8.0,12.0,.667,0.0,0.0,,8.0,12.0,.667,0.0,0.0,,0.0,8.0,8.0,12.0,4.0,0.0,8.0,8.0,16.0
468,Jon Brockman,Career,,,NBA,,150,10,1570,2.7,5.5,.488,0.0,0.0,.000,2.7,5.5,.490,1.9,3.1,.618,4.9,6.0,10.8,1.1,0.8,0.2,1.3,6.1,7.3
469,Jim Brogan,Career,,,NBA,,121,19,1493,6.2,13.9,.444,0.3,1.1,.267,5.9,12.8,.459,2.3,3.1,.748,2.3,2.1,4.4,5.4,1.8,0.5,3.0,4.9,14.9
470,Malcolm Brogdon,Career,,,NBA,,121,48,3386,5.6,12.0,.470,1.5,3.7,.393,4.2,8.2,.505,2.0,2.2,.872,0.7,3.1,3.9,5.0,1.3,0.3,1.9,2.8,14.6
474,Aaron Brooks,Career,,,NBA,,642,183,13410,6.1,14.7,.413,2.2,5.9,.370,3.9,8.7,.442,2.5,2.9,.838,0.7,2.2,2.9,5.2,1.0,0.2,2.7,3.2,16.7
475,Dillon Brooks,Career,,,NBA,,61,53,1727,4.4,10.1,.440,1.3,3.4,.364,3.2,6.6,.480,1.3,1.8,.727,0.7,3.3,3.9,1.8,1.1,0.3,1.7,4.0,11.5
