,Name,Year,Age,Team,League,Position,Games Played,Games Started,TotalMin,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,blank,ORtg,DRtg
3218,Stan Pietkiewicz,1978-79,22,SDC,NBA,SG,4,,32,1.4,11.3,.125,,,,1.4,11.3,.125,2.8,2.8,1.000,0.0,8.5,8.5,4.2,1.4,0.0,1.4,7.1,5.6,,66,107
3219,Mickael Pietrus,2003-04,21,GSW,NBA,PG,53,22,748,6.9,16.5,.416,2.5,7.5,.333,4.4,9.0,.484,3.7,5.4,.693,3.4,5.1,8.5,1.9,2.3,0.9,2.9,7.1,19.9,,104,104
3221,Ed Pinckney,1985-86,22,PHO,NBA,SF,80,24,1602,7.3,13.1,.558,0.0,0.1,.000,7.3,13.0,.560,4.9,7.3,.673,2.7,6.1,8.8,2.6,2.0,1.1,4.2,5.4,19.5,,104,106
3222,Kevinn Pinkney,2006-07,23,BOS,NBA,PF,6,0,100,6.3,14.1,.444,0.5,1.0,.500,5.7,13.0,.440,3.1,4.7,.667,3.7,4.2,7.8,2.6,1.6,1.6,2.1,6.3,16.2,,105,108
3223,John Pinone,1983-84,22,ATL,NBA,SF,7,0,65,5.4,10.1,.538,0.0,0.0,,5.4,10.1,.538,4.6,7.7,.600,0.0,7.7,7.7,2.3,1.5,0.8,3.9,8.5,15.5,,94,106
3225,Tom Piotrowski,1983-84,23,POR,NBA,C,18,0,78,7.3,15.8,.462,0.0,0.0,,7.3,15.8,.462,3.7,3.7,1.000,3.7,6.1,9.7,3.0,0.6,1.8,3.7,13.4,18.3,,104,109
3226,Scottie Pippen,1987-88,22,CHI,NBA,SF,79,0,1650,8.0,17.2,.463,0.1,0.7,.174,7.8,16.5,.475,3.0,5.2,.576,3.5,5.6,9.1,5.2,2.8,1.6,4.0,6.5,19.0,,98,103
3227,Charles Pittman,1982-83,24,PHO,NBA,PF,28,0,170,5.3,11.1,.475,0.0,0.3,.000,5.3,10.8,.487,6.9,10.3,.676,3.6,5.0,8.6,1.9,0.6,1.9,6.1,11.4,17.5,,91,102
3228,Dexter Pittman,2010-11,22,MIA,NBA,C,2,0,11,4.8,14.4,.333,0.0,0.0,,4.8,14.4,.333,0.0,0.0,,4.8,9.6,14.4,0.0,0.0,0.0,9.6,9.6,9.6,,52,106
3229,Zoran Planinic,2003-04,21,NJN,NBA,SG,49,1,473,6.0,14.6,.411,1.0,3.6,.281,5.0,11.0,.454,4.3,6.8,.633,1.6,4.7,6.2,7.7,1.5,0.3,4.1,7.9,17.4,,96,101
3230,Tibor Pleiss,2015-16,26,UTA,NBA,C,12,0,82,7.1,16.1,.440,0.0,1.3,.000,7.1,14.8,.478,1.3,1.3,1.000,3.9,5.8,9.6,1.3,0.6,1.3,5.1,12.2,15.4,,82,106
3231,Marshall Plumlee,2016-17,24,NYK,NBA,C,21,1,170,4.7,8.8,.533,0.0,0.0,,4.7,8.8,.533,2.4,5.6,.421,6.8,8.2,15.0,2.9,1.2,1.2,3.5,6.8,11.8,,103,111
3232,Mason Plumlee,2013-14,23,BRK,NBA,C,70,22,1275,8.2,12.4,.659,0.0,0.1,.000,8.2,12.3,.666,5.0,8.0,.626,4.1,8.6,12.7,2.5,2.0,2.3,3.2,7.0,21.4,,121,104
3233,Miles Plumlee,2012-13,24,IND,NBA,C,14,0,55,4.8,20.3,.238,0.0,0.0,,4.8,20.3,.238,2.9,3.9,.750,11.6,9.7,21.3,1.9,0.0,2.9,2.9,4.8,12.6,,82,100
3234,Gary Plummer,1984-85,22,GSW,NBA,PF,66,0,702,6.1,15.4,.397,0.1,0.3,.250,6.0,15.1,.399,4.3,6.1,.707,3.6,5.3,8.9,1.7,1.0,0.9,3.3,8.4,16.6,,94,114
3235,Pavel Podkolzin,2004-05,20,DAL,NBA,C,5,0,10,0.0,0.0,,0.0,0.0,,0.0,0.0,,5.2,10.4,.500,0.0,10.4,10.4,0.0,0.0,0.0,10.4,20.7,5.2,,34,105
3236,Jakob Poeltl,2016-17,21,TOR,NBA,C,54,4,626,5.4,9.3,.583,0.0,0.0,,5.4,9.3,.583,2.5,4.6,.544,6.3,7.0,13.4,1.0,1.4,1.6,2.3,9.1,13.4,,118,108
3237,Dwayne Polee,1986-87,23,LAC,NBA,SG,1,0,6,7.8,31.2,.250,0.0,23.4,.000,7.8,7.8,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,7.8,0.0,7.8,23.4,15.6,,44,103
3239,Scot Pollard,1997-98,22,DET,NBA,C,33,0,317,6.0,12.0,.500,0.0,0.0,,6.0,12.0,.500,3.3,3.9,.826,5.8,6.9,12.7,1.5,1.4,1.7,2.1,8.2,15.3,,116,103
3241,Olden Polynice,1987-88,23,SEA,NBA,C,82,0,1080,5.2,11.3,.465,0.0,0.1,.000,5.2,11.2,.468,4.5,7.0,.639,5.4,9.2,14.6,1.5,1.4,1.2,3.6,9.5,14.9,,101,106
3243,Quincy Pondexter,2010-11,22,NOH,NBA,SF,66,6,734,5.4,13.3,.406,1.3,3.7,.360,4.1,9.6,.423,1.8,2.5,.706,1.7,4.8,6.5,2.1,1.3,0.7,1.2,4.6,13.9,,102,108
3244,David Pope,1984-85,22,KCK,NBA,SF,22,0,129,6.1,18.9,.321,0.0,0.4,.000,6.1,18.5,.327,2.5,4.6,.538,3.2,3.2,6.4,1.8,1.1,1.1,2.5,10.7,14.6,,80,114
3245,Mark Pope,1997-98,25,IND,NBA,SF,28,0,193,4.0,11.6,.341,0.3,0.8,.333,3.7,10.8,.342,2.8,4.8,.588,2.5,4.8,7.4,2.0,0.8,1.7,2.8,10.2,11.0,,83,104
3246,Dave Popson,1988-89,24,TOT,NBA,PF,17,0,106,7.1,17.7,.400,0.0,0.0,,7.1,17.7,.400,0.9,1.8,.500,5.3,6.6,11.9,3.5,0.4,1.3,4.4,7.5,15.0,,83,112
3247,Ben Poquette,1977-78,22,DET,NBA,PF,52,,626,6.8,16.0,.422,,,,6.8,16.0,.422,3.0,4.3,.700,3.6,6.8,10.3,1.4,0.7,1.6,2.8,4.9,16.5,,95,103
3248,Chris Porter,2000-01,22,GSW,NBA,SF,51,35,1147,7.7,19.8,.389,0.0,0.2,.000,7.7,19.6,.393,4.2,6.3,.667,4.0,4.4,8.4,2.7,2.0,0.3,2.6,4.9,19.6,,94,109
3250,Kevin Porter,1973-74,23,CAP,NBA,PG,81,,2339,9.2,19.2,.478,,,,9.2,19.2,.478,3.5,4.8,.723,1.5,1.9,3.5,9.1,1.8,0.2,,6.2,21.9,,,98
3251,Otto Porter,2013-14,20,WAS,NBA,SF,37,0,319,5.3,14.7,.363,0.6,3.4,.190,4.7,11.3,.414,1.3,1.9,.667,3.4,5.8,9.2,1.6,1.3,0.2,2.3,4.2,12.6,,86,107
3252,Terry Porter,1985-86,22,POR,NBA,PG,79,3,1214,8.0,16.9,.474,0.5,1.6,.310,7.5,15.3,.491,4.7,5.9,.806,1.3,3.1,4.4,7.5,3.1,0.0,4.0,5.1,21.3,,107,108
3254,Bobby Portis,2015-16,20,CHI,NBA,PF,62,4,1102,8.5,19.8,.427,0.7,2.4,.308,7.7,17.5,.443,2.2,3.0,.727,5.6,9.7,15.3,2.4,1.1,1.0,2.5,4.5,19.8,,100,106
3256,Kristaps Porzingis,2015-16,20,NYK,NBA,PF,72,72,2047,9.4,22.2,.421,2.0,6.1,.333,7.3,16.1,.454,5.0,6.0,.838,3.3,9.9,13.2,2.4,1.3,3.4,3.0,5.1,25.8,,103,103
3257,James Posey,1999-00,23,DEN,NBA,SF,81,77,2052,5.7,13.2,.429,2.0,5.4,.373,3.7,7.8,.468,3.0,3.7,.800,2.1,5.7,7.8,3.6,2.4,0.8,2.3,5.1,16.3,,109,105
3258,Lavor Postell,2000-01,22,NYK,NBA,SG,26,0,169,5.6,17.7,.315,1.0,3.6,.273,4.6,14.1,.326,7.2,8.8,.815,2.6,5.6,8.2,1.6,1.3,0.7,5.6,3.9,19.3,,82,100
3260,Vitaly Potapenko,1996-97,21,CLE,NBA,C,80,3,1238,8.7,19.8,.440,0.0,0.1,.500,8.7,19.7,.439,4.3,5.8,.736,4.9,5.2,10.1,1.9,1.2,1.6,5.1,10.1,21.7,,91,104
3261,Leon Powe,2006-07,23,BOS,NBA,C,63,2,720,5.7,12.8,.446,0.0,0.1,.000,5.7,12.7,.451,7.7,10.4,.736,7.0,8.5,15.6,0.7,1.0,1.6,3.4,7.5,19.1,,109,106
3262,Cincinnatus Powell,1973-74,31,VIR,ABA,PF,82,,2485,9.7,21.5,.452,0.2,0.6,.323,9.5,20.9,.456,3.8,5.5,.706,3.1,6.4,9.6,2.5,0.8,0.6,3.4,5.0,23.5,,100,107
3263,Dwight Powell,2014-15,23,TOT,NBA,PF,29,0,236,6.6,14.3,.463,0.6,2.4,.273,6.0,12.0,.500,5.3,7.1,.758,3.8,6.8,10.7,1.9,1.9,1.3,2.4,8.5,19.2,,111,105
3264,Josh Powell,2005-06,23,DAL,NBA,PF,37,2,429,4.7,10.3,.457,0.0,0.0,,4.7,10.3,.457,4.6,5.7,.800,3.6,6.8,10.3,1.1,0.9,0.5,2.8,6.6,14.0,,106,107
3265,Kasib Powell,2007-08,26,MIA,NBA,SF,11,4,304,6.1,16.6,.368,1.4,5.8,.242,4.7,10.8,.435,1.0,1.6,.667,1.4,6.3,7.7,3.1,1.6,0.3,0.9,3.1,14.7,,94,111
3266,Norman Powell,2015-16,22,TOR,NBA,SG,49,24,725,6.9,16.3,.424,2.6,6.3,.404,4.3,10.0,.436,3.1,3.8,.811,1.1,6.8,7.9,3.4,2.1,0.7,2.3,4.2,19.5,,107,105
3267,Roger Powell,2006-07,24,UTA,NBA,SF,3,0,13,0.0,12.1,.000,0.0,4.0,.000,0.0,8.1,.000,8.1,8.1,1.000,12.1,0.0,12.1,0.0,0.0,0.0,12.1,8.1,8.1,,56,115
3268,Alex Poythress,2016-17,23,PHI,NBA,PF,6,1,157,7.8,16.8,.463,1.9,5.9,.316,5.9,10.9,.543,2.5,3.1,.800,3.4,5.6,9.0,1.6,0.9,0.6,0.9,4.3,19.9,,115,112
3271,Paul Pressey,1982-83,24,MIL,NBA,SG,79,18,1528,6.7,14.6,.457,0.0,0.3,.111,6.7,14.4,.464,3.3,5.5,.597,2.6,6.2,8.8,6.5,3.1,1.5,5.1,5.5,16.7,,92,98
3272,Phil Pressey,2013-14,22,BOS,NBA,PG,75,11,1132,3.5,11.5,.308,1.3,4.8,.264,2.3,6.7,.340,1.3,2.0,.644,0.9,3.9,4.8,11.0,3.1,0.2,4.0,4.4,9.7,,89,107
3273,Dominic Pressley,1988-89,24,TOT,NBA,PG,13,0,124,3.5,12.0,.290,0.0,0.8,.000,3.5,11.2,.310,1.9,3.5,.556,1.2,4.6,5.8,10.0,1.5,0.0,4.2,4.2,8.9,,78,110
3274,Harold Pressley,1986-87,23,SAC,NBA,SF,67,23,913,7.0,16.4,.423,0.4,1.5,.250,6.6,15.0,.439,1.8,2.5,.729,3.5,5.6,9.1,6.2,2.1,1.1,3.3,5.0,16.1,,99,110
3276,A.J. Price,2009-10,23,IND,NBA,PG,56,2,865,8.3,20.2,.410,3.4,9.9,.345,4.9,10.3,.472,3.4,4.3,.800,0.7,4.3,5.0,6.1,2.0,0.2,3.4,3.0,23.4,,102,108
3277,Brent Price,1992-93,24,WSB,NBA,PG,68,9,859,5.7,16.0,.358,0.5,2.7,.167,5.3,13.2,.398,3.1,3.9,.794,1.6,4.3,5.9,8.8,3.2,0.2,4.9,5.1,15.0,,86,109
3279,Mark Price,1986-87,22,CLE,NBA,PG,67,0,1217,6.7,16.5,.408,0.9,2.7,.329,5.8,13.8,.424,3.7,4.4,.833,1.3,3.3,4.6,7.9,1.7,0.2,4.1,2.9,18.1,,100,109
3281,Ronnie Price,2005-06,22,SAC,NBA,PG,29,0,150,7.3,20.2,.362,2.1,9.4,.222,5.2,10.8,.484,4.2,4.2,1.000,1.7,3.5,5.2,3.8,2.1,0.0,3.5,3.5,20.9,,94,107
3282,Tony Price,1980-81,24,SDC,NBA,SG,5,,29,3.3,11.6,.286,0.0,0.0,,3.3,11.6,.286,0.0,0.0,,0.0,0.0,0.0,5.0,3.3,1.7,3.3,5.0,6.6,,63,107
3284,Pablo Prigioni,2012-13,35,NYK,NBA,PG,78,18,1263,4.2,9.3,.455,2.2,5.7,.396,2.0,3.6,.547,0.9,1.1,.880,1.7,4.3,6.1,10.0,2.9,0.1,3.6,5.4,11.6,,116,106
3285,Tayshaun Prince,2002-03,22,DET,NBA,SF,42,5,435,6.7,15.0,.449,2.5,6.0,.426,4.2,9.0,.465,1.4,2.2,.647,0.6,5.1,5.7,3.1,1.3,1.8,2.7,3.2,17.4,,100,101
3287,Kevin Pritchard,1990-91,23,GSW,NBA,PG,62,1,773,5.3,13.7,.384,0.3,1.9,.161,5.0,11.9,.419,3.7,4.6,.805,1.0,2.9,3.9,4.9,1.8,0.5,3.5,6.2,14.6,,92,113
3288,Laron Profit,1999-00,22,WAS,NBA,SG,33,1,225,4.8,13.6,.356,0.7,3.9,.176,4.1,9.7,.429,0.9,2.3,.400,0.5,5.5,6.0,5.8,1.6,0.9,4.4,6.0,11.3,,75,108
3289,Gabe Pruitt,2007-08,21,BOS,NBA,PG,15,0,95,7.8,21.7,.359,1.7,6.7,.250,6.1,15.0,.407,0.6,1.1,.500,0.6,3.9,4.4,7.2,2.8,0.0,2.8,5.6,17.8,,89,100
3290,Joel Przybilla,2000-01,21,MIL,NBA,C,33,13,270,2.3,6.8,.343,0.0,0.0,,2.3,6.8,.343,0.6,2.1,.273,5.6,8.1,13.7,0.4,0.6,5.8,2.5,10.8,5.2,,81,101
3293,Anthony Pullard,1992-93,26,MIL,NBA,PF,8,0,37,10.8,24.3,.444,0.0,0.0,,10.8,24.3,.444,1.3,4.0,.333,2.7,8.1,10.8,2.7,2.7,2.7,6.7,6.7,22.9,,76,105
3294,Jacob Pullen,2017-18,28,PHI,NBA,PG,3,0,6,8.1,16.2,.500,0.0,8.1,.000,8.1,8.1,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.1,0.0,16.2,,60,115
3296,Zhou Qi,2017-18,22,HOU,NBA,C,14,0,75,2.6,15.7,.167,1.3,9.8,.133,1.3,5.9,.222,4.6,6.5,.700,1.3,7.2,8.5,0.7,1.3,3.9,3.3,7.8,11.1,,61,103
3297,Tim Quarterman,2016-17,22,POR,NBA,SG,16,0,80,8.1,18.0,.448,3.1,8.1,.385,5.0,9.9,.500,0.0,1.9,.000,2.5,6.2,8.7,6.8,1.2,1.9,6.8,3.7,19.2,,88,111
3299,Chris Quinn,2006-07,23,MIA,NBA,PG,42,1,408,6.3,17.1,.366,2.6,7.5,.351,3.7,9.7,.378,3.3,4.8,.676,0.8,3.1,3.9,8.5,2.0,0.0,2.7,4.2,18.4,,103,108
3300,Brian Quinnett,1989-90,23,NYK,NBA,SG,31,0,193,4.8,14.7,.328,0.0,0.5,.000,4.8,14.2,.339,0.5,0.8,.667,2.3,4.8,7.1,2.8,0.8,1.0,1.0,6.8,10.1,,86,111
3301,Ivan Rabb,2017-18,20,MEM,NBA,PF,20,1,229,9.1,14.7,.621,0.0,0.0,,9.1,14.7,.621,2.7,3.3,.800,5.1,9.8,14.9,2.9,0.9,0.9,4.4,5.3,20.9,,111,110
3302,Luther Rackley,1973-74,27,PHI,NBA,C,9,,68,3.3,8.5,.385,,,,3.3,8.5,.385,5.2,7.2,.727,3.3,11.1,14.3,0.0,2.0,2.6,,7.2,11.7,,,93
3304,Mark Radford,1981-82,22,SEA,NBA,SG,43,0,369,7.0,13.0,.540,0.3,0.4,.667,6.8,12.6,.536,4.6,9.0,.507,1.7,2.1,3.8,7.4,2.1,0.3,5.5,8.5,18.9,,97,105
3306,Dino Radja,1993-94,26,BOS,NBA,PF,80,47,2303,10.7,20.5,.521,0.0,0.0,.000,10.7,20.5,.522,4.9,6.6,.751,4.2,8.4,12.6,2.5,1.5,1.5,3.2,6.0,26.3,,110,107
3307,Vladimir Radmanovic,2001-02,21,SEA,NBA,PF,61,16,1230,6.4,15.5,.412,2.9,6.9,.420,3.5,8.6,.406,2.1,3.2,.681,2.0,8.1,10.1,3.6,2.5,1.1,3.2,5.2,17.8,,101,103
3308,Aleksandar Radojevic,1999-00,23,TOR,NBA,C,3,0,24,4.3,15.1,.286,0.0,0.0,,4.3,15.1,.286,6.5,13.0,.500,4.3,13.0,17.3,2.2,4.3,2.2,10.8,10.8,15.1,,59,94
3311,Miroslav Raduljica,2013-14,26,MIL,NBA,C,48,2,465,7.6,14.2,.540,0.0,0.0,,7.6,14.2,.540,5.1,6.2,.818,6.1,6.1,12.1,2.6,0.8,1.5,3.1,9.4,20.4,,117,113
3315,Ed Rains,1981-82,25,SAS,NBA,SF,49,15,637,5.7,13.0,.435,0.0,0.1,.000,5.7,12.9,.440,2.8,4.7,.594,2.7,3.2,5.9,2.9,1.3,0.1,1.8,5.4,14.1,,102,111
3316,Igor Rakocevic,2002-03,24,MIN,NBA,PG,42,0,244,4.7,12.4,.379,1.1,2.6,.417,3.6,9.8,.370,6.2,7.7,.806,0.9,2.8,3.6,7.1,0.9,0.0,4.9,5.3,16.7,,96,109
3317,Kurt Rambis,1981-82,23,LAL,NBA,PF,64,43,1131,4.9,9.4,.518,0.0,0.0,.000,4.9,9.3,.520,2.4,4.8,.504,4.8,9.6,14.3,2.3,2.5,3.1,3.2,6.9,12.1,,101,100
3318,Peter John Ramos,2004-05,19,WAS,NBA,C,6,0,20,12.9,25.7,.500,0.0,0.0,,12.9,25.7,.500,2.6,5.1,.500,2.6,7.7,10.3,0.0,0.0,2.6,7.7,10.3,28.3,,80,109
3322,Mark Randall,1991-92,24,TOT,NBA,PF,54,0,441,7.8,17.1,.456,0.3,1.8,.188,7.5,15.2,.489,3.7,4.9,.744,4.5,3.7,8.1,3.8,1.4,0.3,2.9,4.5,19.6,,106,114
3323,Chasson Randle,2016-17,23,TOT,NBA,PG,26,0,299,6.6,16.3,.408,2.7,7.8,.340,4.0,8.5,.471,6.8,7.1,.953,1.0,4.3,5.3,5.6,1.5,0.3,3.2,6.5,22.8,,115,113
3324,Julius Randle,2014-15,20,LAL,NBA,PF,1,0,14,3.6,10.9,.333,0.0,0.0,,3.6,10.9,.333,0.0,7.3,.000,0.0,0.0,0.0,0.0,0.0,0.0,3.6,3.6,7.3,,41,119
3325,Anthony Randolph,2008-09,19,GSW,NBA,PF,63,22,1129,8.6,18.7,.462,0.0,0.2,.000,8.6,18.5,.466,4.4,6.1,.716,5.5,10.2,15.7,2.1,1.8,3.2,3.5,6.1,21.6,,102,108
3326,Shavlik Randolph,2005-06,22,PHI,NBA,PF,57,1,487,4.7,10.3,.454,0.0,0.0,,4.7,10.3,.454,4.6,7.6,.606,5.8,8.3,14.1,2.0,2.0,1.3,2.2,8.8,13.9,,109,106
3327,Zach Randolph,2001-02,20,POR,NBA,PF,41,0,238,10.8,24.2,.449,0.0,0.0,,10.8,24.2,.449,4.1,6.1,.667,7.0,8.6,15.6,2.9,1.6,0.9,3.4,6.5,25.7,,102,104
3328,Wally Rank,1980-81,22,SDC,NBA,SF,25,,153,6.6,17.8,.368,0.0,0.0,,6.6,17.8,.368,4.1,8.8,.464,5.3,4.1,9.4,5.3,2.2,0.3,8.1,10.3,17.2,,75,108
3329,Kelvin Ransey,1980-81,22,POR,NBA,PG,80,,2431,10.1,22.3,.452,0.1,0.6,.097,10.0,21.7,.462,3.1,4.2,.749,0.8,2.9,3.7,10.6,1.7,0.2,4.4,3.9,23.3,,101,109
3332,Blair Rasmussen,1985-86,23,DEN,NBA,C,48,1,330,8.3,20.4,.407,0.0,0.0,,8.3,20.4,.407,4.2,5.3,.795,5.0,8.2,13.2,2.2,0.4,1.4,5.5,8.6,20.9,,88,106
3336,Theo Ratliff,1995-96,22,DET,NBA,C,75,2,1305,5.4,9.6,.557,0.0,0.0,.000,5.4,9.6,.559,3.6,5.0,.708,4.6,7.8,12.5,0.5,0.7,4.9,2.3,6.0,14.3,,115,102
3337,Andy Rautins,2010-11,24,NYK,NBA,SG,5,0,24,6.3,14.6,.429,2.1,8.4,.250,4.2,6.3,.667,2.1,4.2,.500,0.0,2.1,2.1,6.3,2.1,0.0,14.6,0.0,16.7,,60,113
3338,Leo Rautins,1983-84,23,PHI,NBA,SF,28,3,196,5.2,14.3,.362,0.0,0.0,,5.2,14.3,.362,1.5,2.5,.600,2.2,5.9,8.1,7.1,2.2,0.5,4.7,7.6,11.8,,81,105
3339,Allan Ray,2006-07,22,BOS,NBA,SG,47,5,710,7.3,19.0,.386,3.5,8.5,.414,3.8,10.5,.364,3.1,4.0,.764,1.3,3.7,5.1,3.2,1.5,0.2,3.1,6.2,21.3,,99,109
3340,Clifford Ray,1973-74,25,CHI,NBA,C,80,,2632,5.4,10.6,.511,,,,5.4,10.6,.511,2.1,3.5,.608,5.0,12.0,17.0,4.3,1.0,3.0,,4.9,13.0,,,89
3342,James Ray,1980-81,23,DEN,NBA,PF,18,,148,4.4,14.5,.306,0.0,0.3,.000,4.4,14.2,.313,2.1,3.0,.700,3.8,7.1,10.9,3.2,1.2,1.2,3.8,9.2,10.9,,77,109
3347,Joe Reaves,1973-74,23,TOT,TOT,SF,19,,210,8.1,18.3,.444,0.0,0.0,,8.1,18.3,.444,1.8,3.8,.471,4.3,7.9,12.2,1.6,0.5,2.0,3.8,6.5,18.0,,85,106
3348,Zeljko Rebraca,2001-02,29,DET,NBA,C,74,4,1179,8.5,16.9,.505,0.0,0.0,,8.5,16.9,.505,6.1,7.9,.771,3.8,9.3,13.1,1.7,1.3,3.3,3.8,8.7,23.2,,105,100
3349,Eldridge Recasner,1994-95,27,DEN,NBA,SG,3,0,13,4.0,24.2,.167,0.0,4.0,.000,4.0,20.2,.200,16.1,16.1,1.000,0.0,8.1,8.1,4.0,12.1,0.0,8.1,0.0,24.2,,76,87
3350,Michael Redd,2000-01,21,MIL,NBA,SG,6,0,35,7.4,28.3,.263,0.0,4.5,.000,7.4,23.8,.313,4.5,8.9,.500,4.5,1.5,6.0,1.5,1.5,0.0,1.5,3.0,19.3,,74,110
3352,J.J. Redick,2006-07,22,ORL,NBA,PG,42,0,622,6.9,16.7,.410,3.3,8.4,.388,3.6,8.3,.433,4.6,5.2,.900,0.9,3.6,4.5,3.1,1.0,0.0,1.8,4.5,21.6,,117,108
3353,Marlon Redmond,1978-79,23,TOT,NBA,SG,53,,759,9.6,22.8,.421,,,,9.6,22.8,.421,1.8,2.9,.620,3.4,3.1,6.4,3.4,1.7,0.9,3.4,5.7,21.1,,91,104
3354,Davon Reed,2017-18,22,PHO,NBA,SG,7,0,56,2.6,12.9,.200,1.7,6.0,.286,0.9,6.9,.125,0.9,1.7,.500,0.0,5.1,5.1,3.4,1.7,0.9,1.7,5.1,7.7,,65,113
3356,Justin Reed,2004-05,23,BOS,NBA,SF,23,0,121,6.4,12.3,.517,0.0,1.3,.000,6.4,11.1,.577,4.7,6.4,.733,3.4,3.4,6.8,4.3,1.3,0.4,2.1,5.1,17.4,,119,110
3358,Willie Reed,2015-16,25,BRK,NBA,C,39,2,426,9.0,15.7,.571,0.0,0.0,,9.0,15.7,.571,3.5,6.5,.545,5.8,8.6,14.4,1.2,0.7,3.5,1.9,5.6,21.5,,116,108
3360,Bryant Reeves,1995-96,22,VAN,NBA,C,77,63,2460,8.6,18.8,.457,0.0,0.1,.000,8.6,18.7,.459,4.7,6.4,.732,3.8,8.4,12.2,2.3,0.9,1.2,3.4,4.8,21.9,,99,108
3361,Khalid Reeves,1994-95,22,MIA,NBA,PG,67,17,1462,7.3,16.4,.443,2.4,6.0,.392,4.9,10.4,.473,4.9,6.9,.714,1.8,4.7,6.6,10.2,2.7,0.4,4.7,4.9,21.9,,111,109
3364,Billy Reid,1980-81,23,GSW,NBA,SG,59,,597,6.7,14.7,.454,0.0,0.4,.000,6.7,14.3,.467,1.8,3.1,.564,2.1,2.6,4.8,5.7,2.6,0.4,6.2,8.8,15.1,,83,109
3365,Don Reid,1995-96,22,DET,NBA,PF,69,46,997,5.8,10.3,.567,0.0,0.0,,5.8,10.3,.567,2.8,4.2,.662,4.3,6.9,11.1,0.6,2.6,2.2,2.3,10.9,14.4,,113,101
3366,J.R. Reid,1989-90,21,CHH,NBA,C,82,82,2757,6.4,14.5,.440,0.0,0.1,.000,6.4,14.4,.443,3.4,5.1,.664,3.5,8.7,12.3,1.8,1.6,1.0,3.1,5.2,16.1,,94,108
3368,Robert Reid,1977-78,22,HOU,NBA,SF,80,,1849,6.7,14.7,.455,,,,6.7,14.7,.455,1.6,2.5,.656,2.8,6.4,9.2,3.1,1.7,1.3,2.1,7.1,15.0,,101,105
3369,Ryan Reid,2011-12,25,OKC,NBA,PF,5,0,17,12.1,15.2,.800,0.0,0.0,,12.1,15.2,.800,0.0,0.0,,3.0,3.0,6.1,0.0,0.0,0.0,3.0,3.0,24.3,,128,112
3370,Jared Reiner,2004-05,22,CHI,NBA,C,19,2,132,3.9,11.8,.333,0.0,0.0,,3.9,11.8,.333,0.4,1.6,.250,5.1,9.8,14.9,0.4,1.2,2.8,3.5,13.8,8.3,,69,97
3372,Richard Rellford,1987-88,23,SAS,NBA,SF,4,0,42,5.5,8.8,.625,0.0,0.0,,5.5,8.8,.625,6.6,8.8,.750,2.2,5.5,7.7,1.1,0.0,3.3,4.4,3.3,17.5,,108,115
3373,Terrence Rencher,1995-96,22,TOT,NBA,PG,36,1,405,4.3,13.0,.330,1.2,3.8,.310,3.1,9.2,.338,4.0,6.0,.674,1.2,4.6,5.7,7.0,2.1,0.3,5.6,4.8,13.8,,84,105
3376,Efthimi Rentzias,2002-03,27,PHI,NBA,C,35,0,144,7.3,21.5,.339,1.5,2.9,.500,5.8,18.6,.314,2.9,3.3,.889,3.6,5.8,9.5,2.6,2.2,0.7,1.5,7.7,19.0,,96,103
3377,Shawn Respert,1995-96,23,MIL,NBA,SG,62,0,845,7.1,18.4,.387,2.6,7.7,.344,4.5,10.7,.418,2.2,2.6,.833,1.8,2.9,4.7,4.3,2.0,0.3,2.6,4.2,19.1,,101,113
3378,Kevin Restani,1974-75,23,MIL,NBA,PF,76,,1755,5.0,11.4,.440,,,,5.0,11.4,.440,0.9,1.3,.714,3.5,7.3,10.8,3.2,1.0,0.5,,4.6,11.0,,,99
3380,Jerry Reynolds,1985-86,23,MIL,NBA,SF,55,8,508,6.7,15.0,.444,0.1,0.2,.500,6.6,14.8,.444,5.4,9.6,.558,3.4,4.0,7.4,8.0,4.0,1.8,4.8,5.3,18.8,,99,99
3383,Rodrick Rhodes,1997-98,24,HOU,NBA,SF,58,13,1070,5.5,15.0,.367,0.1,0.4,.250,5.4,14.6,.370,5.5,8.9,.617,1.4,2.1,3.5,5.4,3.1,0.5,4.8,6.2,16.6,,86,109
3384,Glen Rice,1989-90,22,MIA,NBA,SF,77,60,2311,9.7,22.0,.439,0.3,1.4,.246,9.3,20.6,.452,1.9,2.6,.734,2.1,5.2,7.2,2.8,1.4,0.6,2.3,4.1,21.6,,98,110
3385,"Glen Rice, Jr.",2013-14,23,WAS,NBA,SG,11,1,109,5.2,17.5,.297,2.4,8.0,.294,2.8,9.4,.300,2.4,3.3,.714,1.9,7.6,9.4,3.3,2.8,0.5,4.3,3.3,15.1,,78,102
