,Name,Year,Age,Team,League,Position,Games Played,Games Started,MinPerGame,FGPerGame,FGAPerGame,FG%PerGame,3pPerGame,3PAPerGame,3p%PerGame,2pPerGame,2pAPerGame,2p%PerGame,eFG%PerGame,FTPerGame,FTAPerGame,FT%PerGame,ORGPerGame,DRBPerGame,TotalRebPerGame,AstPerGame,StealPerGame,BlkPerGame,TOVPerGame,FoulsPerGame,PtsPerGame
978,Justin Dentmon,2011-12,26,TOT,NBA,PG,6,0,15.2,1.7,4.7,.357,0.3,2.3,.143,1.3,2.3,.571,.393,0.7,1.0,.667,0.0,1.3,1.3,1.7,0.3,0.0,1.2,1.7,4.3
979,Randy Denton,1971-72,22,TOT,ABA,C,81,,25.2,5.3,11.5,.460,0.0,0.0,.000,5.3,11.5,.461,.460,1.7,2.1,.804,3.4,5.7,9.1,0.8,,,1.4,2.2,12.3
980,Joe DePre,1970-71,23,NYA,ABA,SG,72,,23.7,3.5,6.8,.512,0.0,0.1,.000,3.5,6.7,.517,.512,1.8,2.4,.767,0.8,1.7,2.4,1.9,,,1.9,3.6,8.8
982,DeMar DeRozan,2009-10,20,TOR,NBA,SG,77,65,21.6,3.3,6.6,.498,0.1,0.2,.250,3.3,6.4,.506,.502,1.9,2.5,.763,0.9,2.0,2.9,0.7,0.6,0.2,0.8,2.3,8.6
986,Derrick Dial,1999-00,24,SAS,NBA,SG,8,0,11.9,2.1,5.8,.370,0.4,1.5,.250,1.8,4.3,.412,.402,0.4,0.6,.600,1.8,1.5,3.3,0.6,0.1,0.1,0.8,1.3,5.0
987,Cheick Diallo,2016-17,20,NOP,NBA,PF,17,0,11.7,2.1,4.5,.474,0.0,0.0,,2.1,4.5,.474,.474,0.9,1.2,.714,1.4,2.9,4.3,0.2,0.2,0.4,0.4,1.0,5.1
988,Boris Diaw,2003-04,21,ATL,NBA,SG,76,37,25.3,1.8,4.1,.447,0.1,0.3,.231,1.8,3.8,.467,.457,0.7,1.2,.602,1.5,3.0,4.5,2.4,0.8,0.5,1.7,2.5,4.5
989,Yakhouba Diawara,2006-07,24,DEN,NBA,SG,64,19,18.4,1.6,4.6,.342,0.8,2.7,.288,0.8,1.9,.418,.426,0.5,0.8,.660,0.4,1.3,1.7,0.9,0.5,0.1,0.6,2.1,4.4
990,Guillermo Diaz,2007-08,22,LAC,NBA,SG,6,0,3.0,0.2,0.7,.250,0.0,0.2,.000,0.2,0.5,.333,.250,0.5,0.8,.600,0.3,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.8
991,Dan Dickau,2002-03,24,ATL,NBA,PG,50,0,10.3,1.4,3.4,.412,0.4,1.2,.361,1.0,2.2,.440,.476,0.4,0.5,.808,0.2,0.7,0.9,1.7,0.3,0.0,1.1,1.3,3.7
992,Kaniel Dickens,2003-04,25,POR,NBA,PF,3,0,4.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.3,0.7,.500,0.7,0.0,0.7,0.0,0.0,0.0,0.3,1.0,2.3
994,Michael Dickerson,1998-99,23,HOU,NBA,SG,50,50,31.2,4.3,9.2,.465,1.4,3.3,.433,2.9,6.0,.483,.542,0.9,1.4,.639,0.5,1.1,1.7,1.9,0.5,0.2,1.3,1.8,10.9
995,Clyde Dickey,1974-75,23,UTS,ABA,SG,58,,8.1,1.2,3.5,.350,0.0,0.3,.133,1.2,3.2,.367,.355,0.3,0.4,.762,0.2,0.8,1.1,0.8,0.2,0.0,0.8,0.8,2.8
999,Travis Diener,2005-06,23,ORL,NBA,PG,23,0,10.7,1.3,3.0,.420,1.1,2.5,.439,0.2,0.5,.333,.601,0.2,0.3,.833,0.2,0.7,0.9,0.7,0.3,0.0,0.4,1.0,3.8
1000,Gorgui Dieng,2013-14,24,MIN,NBA,C,60,15,13.6,1.9,3.8,.498,0.0,0.0,1.000,1.9,3.8,.496,.500,1.0,1.6,.634,1.7,3.3,5.0,0.7,0.5,0.8,0.9,1.8,4.8
1002,Coby Dietrick,1970-71,22,MMP,ABA,C,37,,9.6,1.6,4.3,.381,0.0,0.0,.000,1.6,4.3,.384,.381,0.6,0.9,.618,1.1,2.0,3.1,0.9,,,1.0,1.5,3.9
1005,Dwaine Dillard,1975-76,26,UTS,ABA,,3,,6.3,0.3,1.0,.333,0.0,0.0,,0.3,1.0,.333,.333,0.7,0.7,1.000,0.7,2.3,3.0,0.7,0.7,0.7,1.7,2.3,1.3
1006,Mickey Dillard,1981-82,23,CLE,NBA,PG,33,0,6.7,0.9,2.4,.367,0.0,0.1,.000,0.9,2.3,.387,.367,0.5,0.7,.652,0.2,0.3,0.5,1.0,0.2,0.1,0.5,1.2,2.2
1009,Byron Dinkins,1989-90,22,HOU,NBA,PG,33,0,11.0,1.3,3.3,.404,0.0,0.3,.111,1.3,3.0,.430,.408,0.8,0.9,.867,0.4,0.8,1.2,2.3,0.6,0.1,1.1,0.9,3.5
