,Name,Year,blank,blank,League,blank,Games Played,Games Started,TotalMin,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,blank,ORtg,DRtg
160,Milos Babic,Career,,,NBA,,21,0,87,6.9,18.4,.375,0.0,0.0,,6.9,18.4,.375,7.5,11.5,.650,4.6,6.9,11.5,5.7,1.1,0.6,5.7,4.0,21.2,,91,110
162,Dwayne Bacon,Career,,,NBA,,40,6,484,4.4,12.3,.361,1.0,3.3,.303,3.4,9.0,.382,1.0,1.4,.714,0.2,9.1,9.3,2.2,0.9,0.2,1.6,3.7,10.9,,84,110
165,Dalibor Bagaric,Career,,,NBA,,95,0,973,5.3,14.7,.361,0.0,0.1,.000,5.3,14.6,.363,3.1,5.6,.559,4.6,8.4,13.0,2.0,1.6,2.3,3.9,8.9,13.7,,80,105
166,John Bagley,Career,,,NBA,,665,401,17120,6.7,15.2,.437,0.3,1.3,.241,6.3,13.9,.456,2.7,3.5,.779,1.2,3.7,4.9,11.2,2.1,0.2,4.3,3.1,16.4,,100,110
167,Carl Bailey,Career,,,NBA,,1,0,7,6.8,6.8,1.000,0.0,0.0,,6.8,6.8,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,13.6,13.6,13.6,,47,116
168,Gus Bailey,Career,,,NBA,,147,,1346,5.3,13.0,.406,0.3,0.3,1.000,5.3,13.0,.405,2.6,5.1,.510,3.2,5.1,8.3,5.7,1.9,1.5,1.5,5.1,13.2,,95,101
169,James Bailey,Career,,,NBA,,595,105,11625,8.3,17.2,.484,0.0,0.1,.077,8.3,17.2,.485,4.7,6.7,.703,4.1,8.1,12.2,2.0,1.2,2.1,4.3,8.1,21.4,,99,105
170,Thurl Bailey,Career,,,NBA,,928,229,24873,9.2,19.5,.473,0.0,0.1,.114,9.2,19.5,.474,4.5,5.6,.812,2.5,6.6,9.2,2.5,0.8,2.1,2.8,3.6,23.0,,104,106
171,Toby Bailey,Career,,,NBA,,73,12,698,6.8,16.8,.407,0.2,1.1,.200,6.6,15.7,.422,4.0,5.8,.692,3.7,5.6,9.4,3.2,1.6,0.4,2.6,5.9,17.9,,98,102
172,Cameron Bairstow,Career,,,NBA,,36,3,167,4.9,16.4,.296,0.3,1.5,.200,4.6,14.9,.306,3.3,3.9,.846,3.0,7.9,10.9,2.1,1.2,1.2,2.1,8.2,13.4,,83,105
173,Jimmie Baker,Career,,,ABA,,5,,40,3.4,17.0,.200,0.0,0.0,,3.4,17.0,.200,0.0,2.3,.000,4.5,11.3,15.9,4.5,0.0,3.4,6.8,12.5,6.8,,48,100
174,LaMark Baker,Career,,,NBA,,1,0,2,0.0,27.0,.000,0.0,0.0,,0.0,27.0,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,,0,114
175,Maurice Baker,Career,,,NBA,,5,0,19,0.0,2.8,.000,0.0,0.0,,0.0,2.8,.000,0.0,0.0,,2.8,2.8,5.6,2.8,2.8,0.0,2.8,8.4,0.0,,48,109
177,Ron Baker,Career,,,NBA,,81,14,1242,4.1,11.1,.370,1.4,4.8,.286,2.7,6.3,.433,1.9,2.8,.696,0.7,4.5,5.1,6.2,2.4,0.6,3.0,4.3,11.5,,95,111
178,Vin Baker,Career,,,NBA,,791,604,25737,9.6,19.8,.485,0.1,0.4,.215,9.5,19.4,.490,4.9,7.7,.638,4.6,7.4,12.0,3.1,1.2,1.6,3.6,5.2,24.2,,104,107
179,Wade Baldwin,Career,,,NBA,,33,1,405,4.6,14.8,.313,0.4,2.8,.136,4.2,11.9,.355,4.0,4.8,.838,1.4,4.5,5.9,7.8,2.3,0.9,5.0,5.1,13.6,,83,107
180,Renaldo Balkman,Career,,,NBA,,221,12,3064,6.3,12.2,.510,0.2,1.1,.172,6.1,11.2,.543,2.5,4.6,.542,4.7,8.3,13.1,2.2,2.8,1.8,2.3,7.2,15.2,,109,104
181,Cedric Ball,Career,,,NBA,,7,0,26,5.5,14.8,.375,0.0,0.0,,5.5,14.8,.375,3.7,3.7,1.000,9.2,11.1,20.3,0.0,0.0,3.7,3.7,9.2,14.8,,96,104
182,Lonzo Ball,Career,,,NBA,,39,37,1297,5.6,15.3,.365,2.5,7.6,.324,3.1,7.7,.407,1.0,1.9,.491,1.9,8.3,10.2,10.0,2.4,1.2,3.8,3.1,14.6,,98,105
183,Greg Ballard,Career,,,NBA,,802,337,22073,9.1,19.2,.472,0.2,0.7,.338,8.9,18.6,.476,3.0,3.9,.787,3.1,7.3,10.4,3.7,1.9,0.5,2.3,3.9,21.3,,107,104
185,Gene Banks,Career,,,NBA,,468,264,13074,7.7,14.2,.539,0.0,0.2,.043,7.6,14.0,.545,3.7,5.1,.730,3.6,6.1,9.8,4.8,1.6,0.4,3.0,4.6,19.0,,115,110
186,Marcus Banks,Career,,,NBA,,348,37,5571,6.9,16.0,.432,1.2,3.6,.327,5.7,12.4,.462,4.2,5.5,.768,0.9,3.9,4.8,6.8,2.5,0.5,4.1,6.3,19.2,,99,107
188,Ken Bannister,Career,,,NBA,,253,71,3867,7.3,15.0,.488,0.0,0.0,.000,7.3,15.0,.489,4.1,8.4,.492,3.4,7.7,11.2,1.4,1.4,1.0,4.3,8.4,18.8,,90,106
189,Mike Bantom,Career,,,NBA,,706,38,19725,8.0,17.1,.468,0.0,0.1,.200,8.0,17.0,.469,3.9,5.6,.692,3.8,6.7,10.5,3.8,1.5,1.1,2.2,5.8,19.9,,102,102
191,Leandro Barbosa,Career,,,NBA,,850,112,18386,9.3,20.3,.459,2.7,7.0,.387,6.6,13.3,.498,3.4,4.1,.821,0.9,3.8,4.7,4.9,1.9,0.3,2.9,4.5,24.7,,108,109
192,Steve Bardo,Career,,,NBA,,33,0,299,4.7,14.4,.329,0.2,1.7,.100,4.6,12.7,.360,2.7,3.9,.696,2.2,8.0,10.2,7.5,2.0,0.7,3.7,7.6,12.4,,86,109
193,J.J. Barea,Career,,,NBA,,753,96,14843,8.8,20.7,.423,2.5,7.2,.353,6.2,13.5,.461,2.9,3.7,.798,0.8,4.7,5.4,10.0,1.0,0.1,3.9,3.8,23.0,,104,110
194,Andrea Bargnani,Career,,,NBA,,550,377,15806,9.7,22.1,.439,2.1,5.9,.354,7.6,16.2,.470,4.6,5.5,.824,1.8,6.6,8.4,2.2,0.7,1.6,2.8,4.4,26.0,,103,111
197,Charles Barkley,Career,,,NBA,,1073,1012,39330,10.7,19.8,.541,0.7,2.6,.266,10.0,17.3,.581,8.1,11.0,.735,5.4,10.5,15.9,5.4,2.1,1.1,4.3,4.2,30.2,,119,105
198,Erick Barkley,Career,,,NBA,,27,4,266,6.5,18.2,.356,0.8,3.0,.267,5.7,15.2,.373,1.8,2.0,.900,1.0,3.2,4.2,8.1,3.8,0.2,3.4,6.3,15.6,,90,103
200,Harrison Barnes,Career,,,NBA,,447,386,13521,8.1,17.8,.453,1.7,4.6,.366,6.4,13.2,.483,3.4,4.4,.788,1.7,6.4,8.2,2.5,1.2,0.3,1.9,2.9,21.2,,107,107
203,Marvin Barnes,Career,,,TOT,,315,,9281,10.2,21.3,.481,0.0,0.1,.214,10.2,21.3,.482,4.1,5.9,.691,4.8,9.3,14.0,3.2,1.8,2.1,3.7,5.8,24.6,,103,102
204,Matt Barnes,Career,,,NBA,,929,359,21967,6.5,14.8,.436,2.3,6.8,.335,4.2,8.0,.522,2.4,3.2,.745,2.5,7.5,9.9,3.9,1.7,1.0,2.7,5.5,17.6,,107,106
207,Nathaniel Barnett,Career,,,ABA,,12,,73,7.3,15.9,.462,0.0,0.6,.000,7.3,15.3,.480,1.8,4.9,.375,1.8,3.1,4.9,4.9,1.8,0.6,4.9,13.4,16.5,,84,106
212,Mike Barr,Career,,,TOT,,228,,4265,4.9,10.2,.479,0.1,0.4,.333,4.9,10.0,.482,1.6,2.1,.753,1.1,3.2,4.3,6.5,2.2,0.5,2.6,3.9,11.5,,99,106
214,Andre Barrett,Career,,,NBA,,67,1,819,5.7,15.5,.369,1.1,4.4,.246,4.6,11.1,.419,1.5,2.1,.727,1.3,3.2,4.6,8.7,1.9,0.1,3.0,4.4,14.1,,96,109
217,Earl Barron,Career,,,NBA,,140,31,1985,6.7,18.1,.371,0.1,0.5,.167,6.7,17.7,.377,3.4,4.8,.702,5.0,8.0,13.0,1.7,1.2,0.8,2.8,7.1,16.9,,89,108
218,Dana Barros,Career,,,NBA,,850,264,19480,8.6,18.7,.460,2.9,6.9,.411,5.7,11.7,.488,3.3,3.8,.858,0.6,3.6,4.2,7.4,1.9,0.1,3.2,2.8,23.3,,114,110
219,Brent Barry,Career,,,NBA,,912,449,23643,6.5,14.2,.460,3.1,7.7,.405,3.4,6.4,.525,2.9,3.6,.823,1.0,5.2,6.2,6.5,2.1,0.6,2.9,3.9,19.1,,116,105
220,Drew Barry,Career,,,NBA,,60,0,598,3.8,9.2,.417,2.1,5.6,.381,1.7,3.6,.475,2.1,2.8,.774,0.7,5.3,6.0,9.9,1.7,0.2,4.9,6.7,12.0,,101,108
221,Jon Barry,Career,,,NBA,,821,36,13880,6.0,13.8,.434,2.5,6.3,.392,3.5,7.5,.470,3.3,3.8,.848,1.2,4.5,5.7,6.7,2.7,0.4,3.0,3.8,17.7,,112,104
