,Name,Year,blank,blank,League,blank,Games Played,Games Started,TotalMin,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,blank,ORtg,DRtg
3449,James Robinson,Career,,,NBA,,381,51,6935,7.8,19.8,.394,3.0,8.6,.348,4.8,11.3,.430,2.8,4.3,.666,1.5,3.4,4.9,5.3,1.5,0.5,3.8,4.8,21.5,,99,109
3450,Larry Robinson,Career,,,NBA,,89,11,1202,6.4,16.7,.384,2.1,5.6,.373,4.3,11.1,.390,1.8,2.8,.667,2.6,4.5,7.0,3.4,2.4,0.2,2.8,4.5,16.8,,96,107
3451,Nate Robinson,Career,,,NBA,,618,107,13878,9.2,21.7,.423,3.0,8.4,.360,6.2,13.3,.463,4.0,5.1,.796,1.4,4.0,5.4,6.8,2.0,0.2,3.3,5.5,25.4,,108,110
3452,Oliver Robinson,Career,,,NBA,,35,0,147,11.1,30.7,.361,0.3,3.5,.091,10.7,27.2,.395,9.5,14.2,.667,1.9,3.5,5.4,6.6,1.3,0.6,4.1,5.7,31.9,,96,109
3453,Ronnie Robinson,Career,,,ABA,,72,,1272,7.3,16.4,.444,0.0,0.0,.000,7.3,16.4,.445,2.0,3.0,.671,4.3,7.4,11.7,2.0,0.9,0.3,2.8,5.2,16.6,,97,108
3454,Rumeal Robinson,Career,,,NBA,,336,125,6098,8.3,19.2,.432,0.9,2.7,.344,7.4,16.5,.447,3.3,5.4,.611,1.3,3.6,5.0,9.6,2.5,0.4,4.7,4.9,20.8,,98,108
3456,Thomas Robinson,Career,,,NBA,,313,12,4204,7.7,16.3,.470,0.0,0.1,.000,7.7,16.2,.472,3.0,5.9,.505,6.5,11.6,18.1,2.3,1.9,1.3,3.8,6.5,18.3,,97,105
3457,Truck Robinson,Career,,,NBA,,772,212,25141,8.8,18.3,.483,0.0,0.0,1.000,8.8,18.3,.483,4.3,6.5,.662,3.6,9.7,13.4,2.5,1.0,0.9,2.9,4.1,22.0,,100,100
3458,Wayne Robinson,Career,,,NBA,,81,,1592,7.0,15.2,.460,0.0,0.2,.000,7.0,15.0,.465,5.2,7.1,.729,3.5,5.3,8.8,3.3,1.4,0.7,4.4,5.5,19.2,,98,106
3459,Wilbert Robinson,Career,,,ABA,,45,,956,8.4,20.3,.413,0.0,0.3,.000,8.4,20.0,.419,2.9,3.4,.851,1.4,2.6,4.0,6.7,2.6,0.5,4.6,6.2,19.6,,91,108
3460,Bill Robinzine,Career,,,NBA,,529,9,11432,8.8,18.2,.482,0.0,0.1,.250,8.8,18.1,.482,4.7,6.3,.749,4.4,8.5,12.9,2.2,2.3,0.3,3.1,7.9,22.2,,102,101
3461,Dave Robisch,Career,,,TOT,,763,0,17713,7.6,16.5,.464,0.0,0.0,.000,7.6,16.4,.464,5.0,6.1,.798,3.7,8.1,11.8,3.3,1.0,0.9,1.9,3.9,20.1,,113,105
3463,John Roche,Career,,,TOT,,320,2,7501,7.7,16.2,.469,1.1,3.2,.355,6.9,13.9,.484,3.2,4.0,.792,0.6,2.0,2.6,7.8,1.4,0.3,3.6,3.3,19.6,,108,109
3467,Dennis Rodman,Career,,,NBA,,911,573,28839,5.0,9.5,.521,0.1,0.6,.231,4.8,8.9,.542,1.9,3.3,.584,7.8,13.7,21.4,2.9,1.1,1.0,2.7,5.1,12.0,,114,100
3468,Sergio Rodriguez,Career,,,NBA,,353,52,5281,6.7,16.3,.409,2.0,5.9,.337,4.7,10.4,.451,1.9,2.6,.739,1.2,4.0,5.2,11.7,2.1,0.1,4.9,4.4,17.3,,100,111
3469,Lou Roe,Career,,,NBA,,66,2,479,5.2,15.6,.333,0.6,2.3,.250,4.6,13.3,.347,3.7,5.8,.647,4.2,6.2,10.4,2.4,1.5,1.0,3.2,5.9,14.7,,88,107
3470,Carlos Rogers,Career,,,NBA,,298,55,5654,8.1,15.1,.536,0.3,1.1,.258,7.8,14.0,.558,3.5,6.3,.562,4.6,7.0,11.6,1.7,1.2,2.1,2.7,4.7,20.0,,109,109
3471,Harry Rogers,Career,,,ABA,,18,,298,9.1,18.9,.484,0.0,0.3,.000,9.1,18.6,.492,2.6,3.7,.708,5.8,8.8,14.6,2.3,1.8,0.9,3.2,5.2,20.9,,104,103
3472,Johnny Rogers,Career,,,NBA,,69,15,636,8.7,18.5,.472,0.0,0.5,.000,8.7,18.0,.485,1.4,2.1,.679,2.9,5.0,7.8,2.2,1.0,0.8,2.3,6.7,18.9,,100,112
3474,Rodney Rogers,Career,,,NBA,,866,347,21873,8.6,19.0,.451,1.6,4.7,.347,6.9,14.3,.486,3.7,5.4,.690,3.0,6.2,9.2,4.1,2.1,1.1,3.9,6.4,22.5,,102,104
3475,Roy Rogers,Career,,,NBA,,137,50,2309,6.7,13.8,.483,0.0,0.0,.500,6.7,13.8,.483,1.7,3.3,.532,4.2,7.0,11.2,1.3,0.6,4.8,2.3,6.2,15.1,,98,109
3481,Tree Rollins,Career,,,NBA,,1156,463,24028,5.3,10.1,.522,0.0,0.0,.000,5.3,10.1,.523,2.2,3.1,.700,4.4,9.4,13.7,1.3,1.0,5.2,2.1,6.9,12.7,,110,100
3482,Lorenzo Romar,Career,,,NBA,,291,84,5188,6.6,14.1,.464,0.2,0.8,.211,6.4,13.3,.479,2.5,3.3,.749,0.6,2.9,3.5,9.3,2.2,0.3,3.2,3.6,15.8,,106,109
3483,Rajon Rondo,Career,,,NBA,,761,679,24231,7.1,15.3,.462,0.6,1.9,.309,6.5,13.4,.484,2.2,3.6,.605,1.7,6.1,7.8,13.7,2.8,0.2,4.6,3.6,16.9,,104,103
3485,Sean Rooks,Career,,,NBA,,749,230,13560,6.5,14.2,.459,0.0,0.1,.091,6.5,14.1,.461,4.8,6.8,.699,3.6,7.4,10.9,2.4,1.0,1.9,3.1,6.3,17.8,,102,109
3486,Derrick Rose,Career,,,NBA,,486,476,16600,11.3,25.0,.451,1.1,3.9,.297,10.1,21.1,.479,5.3,6.5,.821,1.3,4.1,5.5,8.8,1.2,0.5,4.2,2.1,29.0,,106,109
3487,Jalen Rose,Career,,,NBA,,923,572,27925,9.2,20.7,.443,1.4,4.0,.355,7.8,16.7,.464,5.2,6.5,.801,0.9,5.1,6.0,6.7,1.4,0.6,4.0,4.5,25.0,,103,108
3488,Malik Rose,Career,,,NBA,,813,85,13404,7.1,16.3,.437,0.1,0.3,.177,7.1,16.0,.442,5.6,7.5,.743,4.6,8.8,13.4,2.7,1.9,1.2,4.2,7.5,19.9,,99,100
3489,Rob Rose,Career,,,NBA,,2,0,3,0.0,15.3,.000,0.0,0.0,,0.0,15.3,.000,0.0,0.0,,15.3,15.3,30.6,0.0,0.0,0.0,0.0,0.0,0.0,,58,108
3494,Quinton Ross,Career,,,NBA,,458,169,8458,4.8,11.4,.419,0.3,1.0,.318,4.5,10.4,.428,1.8,2.5,.711,1.7,4.2,5.9,2.7,1.6,0.8,1.4,5.3,11.6,,99,109
3495,Terrence Ross,Career,,,NBA,,409,176,9768,7.8,18.5,.422,3.5,9.5,.371,4.3,9.0,.476,1.6,2.0,.797,0.8,4.9,5.7,2.1,1.7,0.7,1.8,3.9,20.7,,105,109
3496,Doug Roth,Career,,,NBA,,42,0,412,4.3,10.1,.430,0.0,0.1,.000,4.3,10.0,.435,0.8,1.6,.500,5.2,8.9,14.1,2.3,0.9,1.5,1.9,8.2,9.5,,100,108
3497,Scott Roth,Career,,,NBA,,160,6,1798,6.9,18.4,.375,0.6,2.2,.291,6.3,16.2,.387,6.5,8.9,.730,1.7,4.0,5.7,5.2,2.4,0.3,3.8,7.0,20.9,,96,108
3500,Dan Roundfield,Career,,,TOT,,813,270,24210,8.7,18.0,.482,0.0,0.2,.111,8.7,17.9,.485,5.5,7.5,.735,5.1,9.7,14.8,3.3,1.4,2.3,3.7,5.4,22.9,,106,101
3502,Ron Rowan,Career,,,NBA,,7,0,16,11.4,25.7,.444,2.9,2.9,1.000,8.6,22.9,.375,8.6,11.4,.750,2.9,0.0,2.9,2.9,11.4,0.0,8.6,2.9,34.3,,94,94
3504,Jim Rowinski,Career,,,NBA,,23,0,127,5.6,13.5,.417,0.0,0.0,,5.6,13.5,.417,10.2,12.0,.844,6.8,6.0,12.8,1.9,0.4,0.8,3.8,7.1,21.4,,114,111
3505,Derrick Rowland,Career,,,NBA,,2,0,9,5.2,15.7,.333,0.0,0.0,,5.2,15.7,.333,5.2,10.4,.500,0.0,5.2,5.2,5.2,0.0,0.0,0.0,5.2,15.7,,99,108
3506,Brian Rowsom,Career,,,NBA,,82,2,1092,7.0,15.4,.455,0.1,0.1,.667,6.9,15.3,.453,6.2,7.5,.818,4.5,7.6,12.1,2.1,1.3,1.0,2.0,5.8,20.3,,113,110
3507,Brandon Roy,Career,,,NBA,,326,300,11561,10.5,23.0,.459,1.5,4.4,.348,9.0,18.6,.485,6.5,8.1,.800,1.6,4.9,6.6,7.2,1.6,0.4,2.8,3.0,29.1,,115,110
3508,Donald Royal,Career,,,NBA,,504,88,8442,5.8,12.3,.473,0.0,0.1,.000,5.8,12.2,.477,7.5,9.7,.770,3.4,5.3,8.7,3.0,1.5,0.6,3.3,5.2,19.1,,113,109
3509,Reggie Royals,Career,,,ABA,,2,,11,8.3,16.5,.500,0.0,0.0,,8.3,16.5,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,16.5,,107,117
3511,Clifford Rozier,Career,,,NBA,,173,64,2984,5.9,11.9,.496,0.0,0.2,.182,5.9,11.8,.501,2.1,4.6,.465,6.4,8.8,15.2,1.7,1.3,1.9,2.7,7.4,14.0,,103,108
3512,Terry Rozier,Career,,,NBA,,176,3,3092,6.6,17.5,.375,2.7,7.9,.348,3.8,9.7,.396,2.3,3.0,.773,1.8,7.3,9.2,5.2,1.8,0.4,1.9,3.0,18.2,,103,106
3513,Ricky Rubio,Career,,,NBA,,411,391,12907,5.4,14.2,.380,1.2,3.7,.317,4.2,10.5,.403,5.1,6.1,.835,1.1,5.7,6.8,12.9,3.3,0.2,4.5,4.2,17.0,,105,106
3514,Guy Rucker,Career,,,NBA,,3,0,4,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,12.7,12.7,12.7,0.0,0.0,0.0,12.7,0.0,,214,109
3515,Delaney Rudd,Career,,,NBA,,239,3,2357,6.7,16.3,.413,1.0,3.7,.257,5.8,12.6,.459,2.9,3.8,.761,1.0,3.0,3.9,11.0,1.6,0.1,5.3,5.2,17.4,,95,109
3517,Damjan Rudez,Career,,,NBA,,146,2,1638,5.4,12.8,.424,3.3,8.8,.373,2.1,4.0,.535,0.7,1.0,.774,0.6,2.3,2.9,2.6,1.0,0.2,2.1,4.4,14.9,,102,111
3519,Michael Ruffin,Career,,,NBA,,414,58,5966,2.3,5.6,.407,0.0,0.0,.000,2.3,5.6,.409,1.8,3.9,.459,6.5,8.0,14.5,2.2,1.8,1.7,2.4,8.4,6.3,,98,105
3520,Trevor Ruffin,Career,,,NBA,,110,24,1870,9.6,23.4,.411,3.9,10.6,.371,5.7,12.8,.444,4.8,6.1,.795,0.8,3.5,4.3,8.8,1.6,0.1,5.4,5.1,27.9,,103,115
3521,Paul Ruffner,Career,,,TOT,,44,,159,9.7,21.3,.471,0.0,0.0,,9.7,21.3,.471,2.5,5.0,.688,4.7,5.3,10.0,1.9,1.1,1.1,0.0,8.9,21.9,,142,100
3523,Jeff Ruland,Career,,,NBA,,332,189,11088,9.2,16.4,.564,0.0,0.1,.158,9.2,16.3,.566,6.8,9.5,.718,4.7,10.1,14.8,4.4,1.1,1.2,5.3,5.3,25.3,,109,102
3526,Stefano Rusconi,Career,,,NBA,,7,0,30,5.1,15.4,.333,0.0,0.0,,5.1,15.4,.333,3.4,8.6,.400,5.1,5.1,10.3,5.1,0.0,3.4,5.1,17.2,13.7,,78,111
3527,Brandon Rush,Career,,,NBA,,481,163,10564,5.8,13.6,.426,2.5,6.2,.402,3.3,7.4,.447,1.4,1.9,.706,0.9,5.8,6.7,2.2,1.1,1.2,1.9,2.9,15.4,,102,109
3528,Kareem Rush,Career,,,NBA,,346,78,5956,7.5,18.8,.400,2.5,6.9,.358,5.1,11.9,.425,1.5,2.1,.703,0.9,4.0,4.9,3.0,1.3,0.6,2.6,3.9,19.0,,94,109
3530,Bryon Russell,Career,,,NBA,,841,392,19805,6.1,14.2,.431,1.8,5.0,.369,4.3,9.2,.465,3.8,5.1,.750,2.0,5.8,7.8,2.9,2.4,0.5,2.2,5.3,17.9,,109,103
3531,Campy Russell,Career,,,NBA,,566,63,16781,9.5,20.8,.459,0.2,0.7,.366,9.4,20.5,.461,6.0,7.7,.772,2.5,5.1,7.6,4.7,1.7,0.3,2.9,4.3,25.1,,104,104
3533,D'Angelo Russell,Career,,,NBA,,172,124,4800,9.4,23.0,.410,3.2,9.3,.342,6.2,13.7,.456,3.6,4.8,.755,1.0,5.2,6.2,7.3,2.1,0.4,4.8,3.4,25.7,,98,112
3537,Walker Russell,Career,,,NBA,,155,3,1767,4.7,12.1,.393,0.2,1.0,.158,4.6,11.1,.414,2.7,3.3,.800,1.4,3.6,5.0,9.3,1.5,0.3,5.3,5.2,12.3,,87,109
3538,Walker Russell,Career,,,NBA,,28,0,357,5.0,14.3,.347,0.6,2.0,.308,4.4,12.4,.354,2.1,3.3,.636,1.1,2.9,3.9,8.7,2.7,0.2,5.0,4.4,12.7,,82,107
3539,Arvydas Sabonis,Career,,,NBA,,470,314,11375,9.7,19.4,.500,0.6,1.9,.328,9.1,17.5,.520,6.2,7.9,.786,3.4,12.6,16.1,4.5,1.7,2.3,3.9,6.0,26.3,,112,97
3540,Domantas Sabonis,Career,,,NBA,,141,85,3150,7.5,16.0,.466,1.0,3.0,.323,6.5,13.1,.499,3.0,4.2,.713,3.0,9.2,12.2,3.3,1.0,0.9,3.2,6.0,18.9,,104,108
3541,Robert Sacre,Career,,,NBA,,189,35,2745,5.8,13.3,.436,0.0,0.0,.000,5.8,13.3,.437,2.7,4.1,.671,3.9,6.9,10.8,2.3,1.0,2.0,1.9,6.1,14.3,,101,110
3544,John Salley,Career,,,NBA,,748,228,16524,5.7,11.3,.506,0.0,0.0,.214,5.7,11.3,.507,4.5,6.4,.714,3.8,6.5,10.3,2.8,1.4,3.0,2.9,7.4,16.0,,111,104
3545,John Salmons,Career,,,NBA,,895,429,23672,6.6,15.2,.431,1.6,4.3,.366,5.0,10.9,.457,3.4,4.2,.799,1.0,4.7,5.7,4.8,1.7,0.5,2.6,3.6,18.1,,105,109
3547,Kevin Salvadori,Career,,,NBA,,39,0,241,2.8,10.0,.283,0.0,0.0,,2.8,10.0,.283,3.5,5.2,.667,2.4,7.4,9.8,2.8,0.4,5.2,3.7,6.3,9.1,,75,106
3548,Soumaila Samake,Career,,,NBA,,47,1,303,4.8,12.4,.389,0.0,0.0,,4.8,12.4,.389,2.1,4.5,.462,5.5,7.6,13.1,0.9,0.3,3.3,1.0,6.2,11.7,,97,105
3549,Cheikh Samb,Career,,,NBA,,22,0,114,4.1,16.6,.250,0.0,1.4,.000,4.1,15.2,.273,1.8,4.1,.444,6.0,8.3,14.3,0.5,1.8,5.5,1.8,6.9,10.1,,71,102
3550,JaKarr Sampson,Career,,,NBA,,160,75,2477,6.3,14.1,.443,1.0,3.9,.246,5.3,10.2,.519,2.9,4.4,.664,1.9,6.2,8.1,2.6,1.3,1.4,3.0,6.1,16.4,,95,109
3551,Jamal Sampson,Career,,,NBA,,72,5,631,4.3,8.8,.491,0.0,0.1,.000,4.3,8.7,.495,2.9,5.5,.537,6.5,13.2,19.7,2.1,0.7,2.6,2.7,7.4,11.6,,106,102
3552,Ralph Sampson,Career,,,NBA,,456,363,13591,10.1,20.7,.486,0.0,0.2,.172,10.0,20.5,.489,4.1,6.1,.661,4.0,9.8,13.8,3.6,1.3,2.6,4.7,5.5,24.2,,99,104
3553,Samardo Samuels,Career,,,NBA,,109,11,1722,7.2,16.1,.445,0.0,0.1,.000,7.2,16.0,.449,5.0,7.6,.653,4.5,6.6,11.1,1.4,1.1,1.2,3.5,7.0,19.3,,97,110
3554,Pepe Sanchez,Career,,,NBA,,38,0,187,2.6,9.4,.273,0.0,0.3,.000,2.6,9.1,.281,0.6,0.6,1.000,2.0,4.0,6.0,14.0,4.6,0.3,2.3,6.8,5.7,,97,97
3556,Frankie Sanders,Career,,,NBA,,69,,665,9.4,21.9,.430,0.0,0.0,,9.4,21.9,.430,5.0,6.1,.822,2.8,6.1,8.9,4.7,2.5,0.5,5.1,6.0,23.8,,93,103
3557,Jeff Sanders,Career,,,NBA,,55,0,462,5.2,13.2,.395,0.0,0.0,,5.2,13.2,.395,1.5,2.5,.609,4.4,6.6,11.0,2.7,1.9,1.0,3.4,6.8,12.0,,87,109
3558,Larry Sanders,Career,,,NBA,,238,113,4635,7.4,15.5,.480,0.0,0.1,.000,7.4,15.4,.481,2.0,3.7,.553,5.3,9.7,14.9,1.9,1.7,4.8,2.5,7.4,16.9,,101,99
3559,Melvin Sanders,Career,,,NBA,,16,0,113,7.7,15.8,.485,1.0,1.4,.667,6.7,14.4,.467,3.4,4.8,.700,1.9,9.1,11.0,1.4,2.4,0.0,3.8,9.6,19.7,,96,97
3560,Mike Sanders,Career,,,NBA,,648,209,12391,8.4,17.5,.482,0.1,0.3,.221,8.4,17.2,.487,3.1,4.1,.769,2.6,4.8,7.5,3.4,1.8,0.8,2.8,6.5,20.1,,104,109
3563,Daniel Santiago,Career,,,NBA,,122,30,1418,5.6,12.0,.469,0.0,0.0,,5.6,12.0,.469,4.1,6.0,.685,2.8,6.8,9.6,1.4,1.4,1.7,3.1,8.5,15.3,,97,102
3565,Wayne Sappleton,Career,,,NBA,,33,0,298,6.5,13.9,.471,0.0,0.0,,6.5,13.9,.471,2.2,5.4,.412,4.5,7.5,12.0,1.1,1.1,0.6,3.3,8.0,15.3,,92,108
3566,Dario Saric,Career,,,NBA,,141,91,3972,8.5,19.9,.425,2.7,7.9,.344,5.7,12.0,.480,3.8,4.6,.827,2.9,8.5,11.4,4.2,1.2,0.6,3.6,3.5,23.4,,103,108
3567,Jason Sasser,Career,,,NBA,,14,0,108,7.1,17.2,.412,0.5,1.5,.333,6.6,15.6,.419,0.5,1.0,.500,1.5,6.1,7.6,2.0,2.5,0.0,2.0,7.6,15.1,,89,110
3568,Jeryl Sasser,Career,,,NBA,,82,4,1061,3.3,10.7,.303,0.6,2.1,.295,2.6,8.6,.305,2.8,4.0,.687,3.3,6.0,9.3,3.3,2.3,0.6,2.0,4.6,9.9,,92,104
3569,Tomas Satoransky,Career,,,NBA,,111,18,1791,5.4,11.0,.491,1.2,3.1,.393,4.2,7.9,.530,2.0,2.7,.735,1.9,4.3,6.2,7.7,1.7,0.4,2.5,4.0,14.0,,118,111
3570,Kenny Satterfield,Career,,,NBA,,75,10,1062,6.4,19.0,.335,0.6,2.7,.218,5.8,16.3,.355,2.6,3.5,.746,1.6,3.1,4.7,8.8,2.5,0.1,4.8,3.9,16.0,,83,107
3576,Predrag Savovic,Career,,,NBA,,27,0,256,6.0,19.2,.312,0.8,5.4,.154,5.1,13.8,.373,4.3,6.0,.724,1.9,3.3,5.1,4.5,2.9,0.2,4.3,6.8,17.1,,80,102
3578,Brian Scalabrine,Career,,,NBA,,520,61,6772,4.6,11.8,.390,1.4,4.1,.344,3.2,7.7,.415,1.8,2.3,.783,2.1,5.9,8.1,3.4,1.2,0.9,2.7,6.4,12.4,,96,104
3579,Alex Scales,Career,,,NBA,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,
3580,DeWayne Scales,Career,,,NBA,,49,0,521,9.0,21.5,.417,0.1,0.5,.167,8.9,20.9,.424,2.5,3.9,.628,4.5,8.3,12.8,0.9,1.3,0.5,3.1,5.3,20.5,,91,105
3584,Billy Schaeffer,Career,,,ABA,,137,,1788,8.8,18.7,.472,0.2,0.7,.231,8.7,18.0,.481,2.6,3.6,.732,2.6,4.7,7.4,2.4,1.3,0.5,2.7,6.3,20.4,,102,104
3589,Danny Schayes,Career,,,NBA,,1138,427,21975,6.4,13.3,.481,0.0,0.1,.133,6.4,13.2,.482,6.0,7.4,.806,3.9,8.2,12.1,2.8,1.2,1.8,3.4,7.5,18.8,,109,107
3592,Steve Scheffler,Career,,,NBA,,174,8,918,6.6,11.9,.558,0.1,0.3,.200,6.6,11.6,.566,4.8,6.3,.759,4.4,5.4,9.8,1.4,1.6,0.4,1.9,7.2,18.1,,124,108
3593,Tom Scheffler,Career,,,NBA,,39,0,268,3.6,8.8,.412,0.0,0.0,,3.6,8.8,.412,1.7,3.5,.500,3.1,10.0,13.1,1.9,1.4,1.9,2.6,8.3,9.0,,89,104
3595,Luke Schenscher,Career,,,NBA,,31,0,267,4.5,9.7,.469,0.0,0.0,,4.5,9.7,.469,1.8,4.0,.450,3.6,7.1,10.7,1.6,0.6,1.4,1.8,9.1,10.9,,99,107
3597,Dwayne Schintzius,Career,,,NBA,,217,33,1950,6.6,16.4,.404,0.0,0.2,.125,6.6,16.2,.408,1.9,3.0,.638,4.3,9.5,13.9,2.4,0.8,3.0,3.1,8.3,15.2,,90,104
3601,Russ Schoene,Career,,,NBA,,290,10,3548,8.3,19.0,.435,0.8,2.5,.335,7.5,16.6,.450,2.5,3.3,.751,3.8,6.0,9.8,2.3,1.6,0.9,3.0,7.6,19.9,,101,108
3604,Detlef Schrempf,Career,,,NBA,,1136,524,33597,8.1,16.5,.491,0.7,1.9,.384,7.4,14.6,.505,6.7,8.4,.803,2.8,7.7,10.5,5.7,1.3,0.5,3.4,5.0,23.6,,117,107
3605,Dennis Schroder,Career,,,NBA,,344,153,8107,10.2,23.7,.433,1.9,5.8,.319,8.4,17.8,.470,4.5,5.5,.832,0.9,4.4,5.3,10.0,1.7,0.2,5.0,3.7,26.9,,101,108
3609,John Schweitz,Career,,,NBA,,22,0,117,10.3,31.0,.333,0.0,1.7,.000,10.3,29.3,.352,2.9,4.1,.700,2.5,6.6,9.1,7.4,0.0,0.4,6.6,5.8,23.5,,74,111
3610,Luis Scola,Career,,,NBA,,743,505,19001,10.0,20.3,.493,0.3,0.7,.339,9.7,19.5,.499,4.0,5.3,.740,3.6,9.8,13.5,3.3,1.3,0.6,3.1,5.5,24.2,,106,105
3612,Alvin Scott,Career,,,NBA,,627,70,10853,4.9,10.3,.481,0.0,0.1,.200,4.9,10.2,.483,3.1,4.3,.733,2.8,5.6,8.4,3.6,1.7,1.6,2.6,4.4,13.0,,105,102
3613,Brent Scott,Career,,,NBA,,16,0,55,7.8,16.7,.471,0.0,0.0,,7.8,16.7,.471,2.9,5.9,.500,2.9,5.9,8.8,2.9,1.0,1.0,3.9,13.7,18.6,,92,106
3614,Byron Scott,Career,,,NBA,,1073,717,30152,9.7,20.1,.482,1.3,3.4,.370,8.4,16.7,.505,4.1,4.9,.833,1.1,3.8,4.9,4.5,2.0,0.5,2.6,3.4,24.7,,112,109
3615,Charlie Scott,Career,,,TOT,,473,,16039,9.2,20.7,.448,1.2,4.6,.253,9.2,20.7,.450,3.8,5.0,.773,1.3,3.4,4.7,6.1,1.7,0.4,1.8,4.9,22.2,,93,103
3616,Dennis Scott,Career,,,NBA,,629,376,17983,8.5,20.3,.417,3.5,8.7,.397,5.0,11.6,.431,2.7,3.4,.793,1.0,4.0,5.1,3.7,1.5,0.6,2.2,3.6,23.1,,109,110
3617,James Scott,Career,,,NBA,,8,0,32,0.0,13.6,.000,0.0,6.8,.000,0.0,6.8,.000,1.7,3.4,.500,1.7,8.5,10.2,5.1,3.4,0.0,3.4,8.5,1.7,,34,97
3618,Mike Scott,Career,,,NBA,,339,8,5368,9.1,19.2,.474,2.3,6.6,.348,6.8,12.6,.540,2.8,3.6,.773,2.3,7.3,9.5,2.9,1.0,0.4,2.4,4.4,23.3,,107,107
3620,Shawnelle Scott,Career,,,NBA,,105,11,634,6.6,14.2,.464,0.0,0.0,,6.6,14.2,.464,2.8,6.0,.465,8.8,10.5,19.3,1.7,1.2,1.9,3.0,10.4,16.0,,101,100
3623,Carey Scurry,Career,,,NBA,,180,5,2376,6.3,13.1,.480,0.2,0.6,.250,6.1,12.4,.492,3.9,5.9,.666,4.4,5.9,10.3,3.8,3.6,2.8,3.8,7.4,16.6,,101,99
3624,Bruce Seals,Career,,,TOT,,348,,7463,7.9,18.6,.423,0.5,2.6,.204,7.8,18.1,.430,3.2,4.7,.672,2.9,6.0,9.0,2.2,1.4,1.3,1.3,6.5,19.1,,91,100
3625,Shea Seals,Career,,,NBA,,4,0,9,5.7,45.6,.125,0.0,17.1,.000,5.7,28.5,.200,11.4,22.8,.500,17.1,5.7,22.8,0.0,5.7,0.0,0.0,5.7,22.8,,69,98
3626,Malik Sealy,Career,,,NBA,,493,253,11720,8.3,19.5,.426,0.7,2.4,.292,7.6,17.1,.445,4.8,5.9,.809,2.2,4.8,7.1,3.6,2.3,0.7,3.0,4.8,22.1,,102,107
3630,Thabo Sefolosha,Career,,,NBA,,778,473,18017,5.1,11.4,.449,1.3,3.8,.347,3.8,7.6,.500,1.8,2.4,.737,1.7,6.9,8.6,3.2,2.5,1.0,2.0,3.8,13.3,,106,103
3631,Rony Seikaly,Career,,,NBA,,678,607,21395,8.6,17.8,.484,0.0,0.1,.188,8.6,17.7,.485,6.3,9.3,.679,5.0,10.1,15.1,2.0,1.1,2.1,4.5,5.5,23.5,,103,106
3633,Josh Selby,Career,,,NBA,,38,0,296,5.6,16.9,.330,0.5,3.8,.143,5.0,13.1,.384,3.2,4.5,.720,0.4,3.2,3.6,6.1,1.6,0.0,6.5,4.3,14.9,,73,106
3634,Wayne Selden,Career,,,NBA,,35,13,635,6.7,16.5,.405,2.6,7.6,.337,4.1,8.8,.464,3.3,4.7,.695,0.9,3.5,4.3,4.1,1.4,0.2,3.8,4.7,19.2,,95,112
3635,Brad Sellers,Career,,,NBA,,398,123,7154,7.2,15.9,.452,0.0,0.2,.200,7.2,15.7,.456,3.2,4.0,.793,3.0,4.5,7.5,3.1,1.0,1.7,2.4,4.8,17.6,,105,110
3641,Mouhamed Sene,Career,,,NBA,,47,3,260,6.9,16.2,.427,0.0,0.0,,6.9,16.2,.427,6.5,11.1,.589,5.5,9.3,14.9,0.2,0.8,4.4,3.0,8.7,20.4,,98,106
3643,Kevin Seraphin,Career,,,NBA,,423,34,6430,9.1,18.6,.489,0.0,0.1,.000,9.1,18.5,.491,2.0,2.8,.715,4.0,7.7,11.7,2.0,0.7,2.4,3.6,7.2,20.2,,96,105
3644,Ansu Sesay,Career,,,NBA,,127,6,1301,6.6,15.3,.434,0.3,1.2,.276,6.3,14.1,.447,2.9,4.6,.640,4.2,5.0,9.2,2.6,1.6,1.2,2.4,6.7,16.5,,100,108
3645,Ramon Sessions,Career,,,NBA,,676,146,15894,7.7,17.7,.435,0.7,2.1,.314,7.0,15.6,.451,6.7,8.5,.792,1.1,4.8,5.9,8.9,1.5,0.2,3.7,3.0,22.8,,107,111
3646,Ha Seung-Jin,Career,,,NBA,,46,4,316,4.8,9.3,.519,0.0,0.0,,4.8,9.3,.519,2.4,4.8,.500,3.4,8.1,11.5,0.5,0.7,2.2,4.5,10.7,12.0,,84,110
3647,Tom Sewell,Career,,,NBA,,21,0,87,5.0,19.8,.250,0.0,1.1,.000,5.0,18.7,.265,1.1,2.2,.500,1.1,1.1,2.2,3.3,1.7,0.6,3.9,7.2,11.0,,57,108
